,Authors,Year,First author and year,Title,DOI,Language,Demographics,Disease characteristics,Number of MS patients included in analysis,Number (% female),Percentage female,"Thereof female, n","Female, n",Age,Type of MS,,Severity,Duration of disease in years,Treatments,Comorbidities,Type (healthy or other),"Comparator population, number (number of females)",Type (healthy or other) more information,Number of Subjects,"Thereof female, n (or ratios)",,"Age, mean (SD) or age groups",Type of MS ,"Severity (EDSS, PDDS)","Duration of disease (years), mean (SD) or median [IQR]",Information on treatment of MS,Comorbidities,Wearable,sensors_type_plot,Primary wearable type(s) used,Brand / company of primary wearable(s),Number of axes (original copy),Software to extract features/data used,Recording frequency,Number of primary wearable (s),Position of primary wearable (drop-down),Position of primary wearable(s) (more details),Number of wearables (from position),"Context of primary wearable(s) (at home, in clinic, lab-testing, ...) (more details)",Context,Number of secondary wearable (s),Secondary wearable(s) type,Brand / company of secondary wearable(s),Position of secondary wearable(s),"Context of secondary wearable(s) (at home, in clinic, lab-testing, ...)",Wearables main topic of study?,"If wearable was not main topic of study, what was it used for?",Accelerometry used as outcome measure?,Study duration per participant (time wearable was worn),Duration wearable was worn,Number of visits/session,Main/primary outcome,Correlation metrics reported,"Reliability metrics reported (ICC, CV, standard error of measurement (SEM), minimally detectable change (MDC), ...)",Other metrics reported,"Other/secondary outcomes (e.g., cognition)","Traditional MS outcomes used (EDSS, MSFC, SDMT, T25FW, 10MWT, MRI, ...)",STUDY CONCLUSION,"Limitations reported (e.g., small sample size)",clinicaltrials.gov identifier (NCT),Comments (e.g. suspected re-use of participants),Does the study report a clearly defined research objective (including an outcome)?,Does the study adequately describe the inclusion/exclusion criteria?,"Does the study report on the population parameters/demographics (at least age, sex)?","Does the study report details on assessment of MS (severity [EDSS or PDSS], type)?","Does the study provide sufficient details on the wearables used (type, positioning of wearable, context, recording frequency)?",Does the study report proper statistical analysis? Correction for multiple comparisons?,"Does the study adequately report the strength of the results (e.g., ways of calculating effect sizes, reporting confidence intervals/standard deviation?",Does the study make the data and/or code publicly available?,Do the authors report on the limitations of their study?,Domain1,Domain2,Domain3,Domain4,Domain5,Domain6,Association with MS severity,Association with MS severity - Effect,Association with other measure,Association with other measure - Effect,"Comment on which other measure used (for mixed cases: add ""(s)"" or ""(ns)"" or ""(mixed)"" after each measure)",Group differences MS vs HC,Group differences MS vs HC - Effect,Group differences MS vs MS,Group differences MS vs MS - Effect,Group differences MS vs other diseases,Group differences MS vs other diseases - Effect,Comment on what other diseases included,Test-retest reliability,Test-retest reliability - Effect,Responsiveness to change,Responsiveness to change - Effect,Responsiveness to intervention,Responsiveness to intervention - Effect,Subjective patient acceptability,Subjective patient acceptability - Effect
Bourguignon,"Ng A.V., Kent-Braun J.A.",1997,"Ng et al, 1997",Quantitation of lower physical activity in persons with multiple sclerosis,10.1097/00005768-199704000-00014,English,"17 MS patients ()
female: 11;
age: 46 (6);
Type of MS: (RR: n=10, CP: n=8)",,17,17 (64.7),64.70588235,11,11,46 (6),"RR: n=10,
CP: n=8",,"EDSS : 3 (median), range: 1.5-6,
FSS: 4.9 (1.2), range: 1.9-6.9,
MRC: 3.7 (1.5), range: 0-5,
MVC : 110.7 (66.8), range: 161.0-47.9",not reported,"betaseron: n=2,
prednisone: n=2,
prozac: n=2,
baclofen: n=2,
cardiazem: n=1 (woman)","smoking: n=1 (male),
no cardiovascular, metabolic, or immunologic disorders",healthy,"healthy sedentary
n=15 (60% female)
age: 44 (7)",healthy sedentary,15,9,60,44 (7),-,-,-,"no medication which might affect muscle function (e.g., beta blockers, calcium channel blockers, etc.)",1 male smoked,"TriTrac-R3D
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist
",accelerometer,TriTrac-R3D three-axial accelerometer ,"Hemokinetics, Madison, WI",3,"(i) TriTrac software, 
(ii) SYSTAT",NA,1,waist,waist,1 (waist),"data acquired continuously during waking hours except when it would become wet such as during bathing or swimming and averaged over 1-min periods, at home",real-world,0,NA,NA,NA,NA,No,Proxy for measuring physical activity,Yes,7 days,7 days,,"For the accelerometer and questionnaire data, differences between MS, sedentary control, and active control groups","Pearson correlation, not significant between accelerometer and clinical measures (EDSS, FSS, MRC) or MCV in MS patients",-,vector magnitude values; estimated energy expenditure values (from questionnaire); p-values from ANOVA test; mean sd and range of MS outcomes; activity from accelerometer (kcal·kg-1·d-1) ; questionnaire results (kcal·kg-1·d-1); ,,"EDSS, FSS, 7-d recall questionnaire, Medical Research Council (MRC) scale of strength for the tibialis anterior muscle, maximal voluntary force (MVC) produced during dorsiflexion","when measured directly with an accelerometer, activity was lower in MS compared with sedentary control subjects. The data also suggest that the accelerometer was more sensitive than the questionnaire for detecting differences in activity between two relatively sedentary populations, including one with neurologic disease.","low sensitivity of questionnaire, questionnaire and accelerometer not in the same week, ",,,yes,yes,yes,yes,yes,yes,yes,no,yes,RW: Physical activity,,,,,,yes,non-significant,yes,non-significant,"7dRQ, FSS, MRC, MVC",yes,mixed,no,,no,,,no,,no,,no,,no,
Bourguignon,"Motl R.W., Snook E.M., McAuley E., Scott J.A., Douglass M.L.",2006,"Motl et al, 2006",Correlates of physical activity among individuals with multiple sclerosis,10.1207/S15324796ABM3202_13,English,"n=196;
female: 173;
age: 46.1 (9.8);
Type of MS: (RR: n=174, PP: n=3, SP: n=19)",,196,196 (88.3),88.26530612,173,173,46.1 (9.8),"RR: n=174,
PP: n=3,
SP: n=19",,"inclusion criteria: ambulatory with minimal assistance (i.e., walking with or without a cane)",9.0 (7.1),not reported,not reported,none,none,-,-,-,#VALUE!,-,-,-,-,-,-,"ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: not reported",accelerometer,ActiGraph single-axis accelerometer (model 7164 version),"Health One Technology, Fort Walton Beach, FL",1,"(i) AMOS (5.0), 
(ii) Excel",NA,1,not reported,NA,1 (not reported),"during the waking hours, except while showering, bathing, and swimming (at home)",real-world,0,NA,NA,NA,NA,No,Proxy for measuring physical activity,Yes (counts per day),7 days,7 days,0,"correlation between physical activity and social cognitive perspective, examines self-efficacy, enjoyment, social support, and disability","Yes, inter-factor correlations",-,"mean, sd and range of the different scores;  root mean square error of approximation, standardized root mean squared residual and comparative fir index for model fit;  standardized parameter estimates for path coefficients, factor loadings","18-item Physical Activity Enjoyment Scale (PACES),  24-item Social Provisions Scale (SPS),  Late-Life Function and Disability Inventory (LL–FDI), ","Exercise Self-Efficacy Scale (EXSE), Godin Leisure-Time Exercise Questionnaire (GLTEQ), accelerometer counts per day",Future researchers should consider examining self-efficacy and enjoyment as possi- ble components of an intervention that is designed to increase physical activity participation in MS patients.,"cross-sectional design of the study precludes inferences about the direction of causality; limited representativeness of the sample; relied on the participant’s self-reporting of an MS diagnosis; only tested one model for the data via covariance modeling; nearly 50% of individuals with MS exhibit depressive symptoms, and this un-accounted variable might influence all of the variables included in this study; ",,Suspected re-use of participants (see paper 5-6-7-9),yes,yes,yes,applies partially,applies partially,applies partially,yes,no,yes,RW: Physical activity,,,,,,no,,yes,significant,"EXSE, PACES, SPS, LL-FDI, GLTEQ",no,,no,,no,,,no,,no,,no,,no,
Bourguignon,"Motl R.W., Snook E.M., McAuley E., Gliottoni R.C.",2006,"Motl et al, 2006","Symptoms, self-efficacy, and physical activity among individuals with multiple sclerosis",10.1002/NUR.20161,English,,,196,196 (88.3),88.26530612,173,173,46.1 (9.8),"RR: n=174,
PP: n=3,
SP: n=19",,"inclusion criteria: ambulatory with minimal assistance (i.e., walking with or without a cane)",9 (7.1),not reported,not reported,none,none,-,-,-,#VALUE!,-,-,-,-,-,-,"ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: not reported",accelerometer,ActiGraph single-axis accelerometer (model 7164 version),"Health One Technology, Fort Walton Beach, FL",1,"(i) software provided with the ActiGraph,
(ii) Excel,
(iii) AMOS (5.0)",NA,1,not reported,NA,1 (not reported),"measure movement during waking hours except while showering, bathing, and swimming, with 1 minute epoch, at home",real-world,0,NA,NA,NA,NA,No,Proxy for measuring physical activity,Yes,7 days,7 days,0,"correlation between symptoms and self-efficay, physical activity and accelerometer counts per day","yes, type not specified",-,"mean, sd and range of the different scores; chi-squred statistics and pvalues associated; standar- dized root mean-squared residual (SRMR); comparative fit index (CFI)",,"Exercise Self-Efficacy Scale (EXSE), Godin Leisure-Time Exercise Questionnaire (GLTEQ), accelerometer counts per day, MS-Related Symptom Checklist, ",study provides initial support for symptoms as a correlate of physical activity in individuals with MS,cross-sectional design (no direction of causality);  only measured the number of symptoms instead of the frequency or intensity of symptoms; ,,Suspected re-use of participants (see paper 4-6-7-9),yes,yes,yes,applies partially,applies partially,applies partially,yes,no,yes,RW: Physical activity,,,,,,no,,yes,significant,"MS-SR, EXSE, BSSE, GLTEQ",no,,no,,no,,,no,,no,,no,,no,
Bourguignon,"Motl R.W., McAuley E., Snook E.M., Scott J.A.",2006,"Motl et al, 2006",Validity of physical activity measures in ambulatory individuals with multiple sclerosis,10.1080/09638280600551476,English,,,30,30 (93.3),93.33333333,28,28,"42.3 (9.5), range: 27-61","RR: n= 26, 
PP: n=2,
SP: n=2",,"EDSS: 2.5 (median), range: 0-5, 
inclusion criteria: participants were ambulatory without an aide",6.2 (4.3),not reported,not reported,none,none,-,-,-,#VALUE!,-,-,-,-,-,-,"Yamax SW-200 
Type of sensor: mechanical pedometer
Number of wearables: 1
Position: waist

ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: waist","accelerometer, mechanical pedometer",Yamax SW-200,"Yamax Corporation, Tokyo, Japan",1,"(i) Excel,
(ii) SPSS (12.0)",frequency response range: 0.25-2.5 Hz,1,waist (non-dominant hip),"waist, non-dominant hip",1 (waist),"during waking hours, except while showering, bathing, and swimming, at home",real-world,1,ActiGraph single-axis accelerometer model 7164 version,"Manufacturing Technology Incorporated (MTI), Fort Walton Beach, FL","waist, non-dominant hip",at home,Yes,,Yes,7 days,7 days,2,"correlation between scores and self-reported measures of physical activity, scores and two objectives measures of physical activity","yes, Pearson product – moment correlation, Spearman correlations",,"mean, sd and range of the different scores",Mini-Mental State Examination (MMSE),"Godin Leisure-Time Exercise Questionnaire (GLTEQ),  7-day physical activity recall (7dPAR), Expanded Disability Status Scale (EDSS)", results support the quantification of physical activity among those with MS using validated self-report and objective measures.,sample consisted primarily of women; ,,Suspected re-use of participants (see paper 4-5-7-9),yes,no,yes,yes,yes,yes,yes,no,yes,RW: Physical activity,,,,,,no,,yes,significant,"GLTEQ, 7dPAR",no,,no,,no,,,no,,no,,no,,no,
Bourguignon,"Motl R.W., Snook E.M., McAuley E., Scott J.A., Gliottoni R.C.",2007,"Motl et al, 2007",Are Physical Activity and Symptoms Correlates of Functional Limitations and Disability in Multiple Sclerosis?,10.1037/0090-5550.52.4.463,English,,,133,133 (78.2),78.19548872,104,104,51.1 (11.4),"RR: n=86,
PP: n=6, 
SP: n=41",,not reported,12.0 (9.0),not reported,not reported,none,none,-,-,-,#VALUE!,-,-,-,-,-,-,"ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: not reported",accelerometer,ActiGraph accelerometer (model 7164 version),"Health One Technology, Fort Walton Beach, FL",1,"(i) software provided with the ActiGraph,
(ii) Excel,
(iii) AMOS (6.0)",NA,1,not reported,NA,1 (not reported),"during the waking hours, except while
showering, bathing, and swimming",real-world,0,NA,NA,NA,NA,No,Proxy for measuring physical activity,Yes,7 days,7 days,,"standardized coefficients of correaltion between physical activity, symptoms, functional and disability limitations","yes, type not specified",,"mean, sd and range of the different scores, chi-square statistic and associated pvalues, root-mean-square error of approximation (RMSEA), comparative fit index (CFI)",,"Godin Leisure-Time Exercise Questionnaire (GLTEQ),  Symptom Inventory (SI), MS_related symptom checklist (MS-SR),  Late-Life Function and Disability Inventory (LL-FDI), ",Findings indicate that physical activity is associated with reduced disability through a pathway that is consistent with S. Z. Nagi’s disablement model in individuals with MS.,cross-sectional design of this study precludes conclusions about the exact causal sequencing of the relationships among variables;  cross-sectional design also precludes testing of the “process” of disablement that can only occur with a passage of time available in a prospective or longitudinal research design;  redominant Caucasian and female composition of the sample; ,,Suspected re-use of participants (see paper 4-5-6-9),yes,no,yes,applies partially,applies partially,applies partially,yes,no,yes,RW: Physical activity,,,,,,no,,yes,significant,"GLTEQ, MS-SR, SI, LL-FDI",no,,no,,no,,,no,,no,,no,,no,
Bourguignon,"Kos, D; Nagels, G; D'Hooghe, MB; Duquet, W; Ilsbroukx, S; Delbeke, S; Kerckhofs, E",2007,"Kos et al, 2007",Measuring activity patterns using actigraphy in multiple sclerosis,10.1080/07420520701282364,English,,,19,19 (47.4),47.36842105,9,9,47.2 (12.1),not reported: n=19,19,EDSS: 5.5 [5-6],not reported,not reported,not reported,healthy,"healthy
n=10 (60% female)
age: 39.6 (12.3)",healthy,10,6,60,39.6 (12.3),-,-,-,-,-,"ActiGraph
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 2
Position: wrist, ankle",accelerometer,Motionlogger actigraph,"Ambulatory Monitoring Inc., New York, USA",3,"(i) Act Millennium (beta version, 3.8.8.9),
(ii) SPSS (13)",NA,2,multiple positions,"(i) wrist, non-dominant,
(ii) ankle","2: 1 (wrist), 1 (ankle)","epoch length of 1 sec, continuously in daily activities ",real-world,0,NA,NA,NA,NA,Yes,-,Yes,3 days,3 days,,"correlation coefficient between the ankle and wrist actigraph,  similarity in activity patterns between the ankle and wrist actigraph; comparison MS versus healthy controls in actigraph counts, MET score","non-parametric Kendall tau correlation coefficient,  Pearson correlation,  partial Pearson correlation coefficients, ",,"analysis of variance statistics and associated pvalues for the time, location and time*location of accelerometer data for MS patients, counts mean and sd, self-reported activity in met scores median, quartiles, min max pvalues from difference scores between MS and controls (mann whitney test)",,EDSS not as outcome but as confounder,"Wrist placement of the actigraphs was better tolerated than ankle placement. Wrist actigraph data corre- sponded to a higher degree with self-reported activities of the upper limbs in the early afternoon, whereas ankle data seem to reflect better whole body movements in the later afternoon/early evening. Wrist and ankle actigraphs produce similar activity patterns in subjects","small difference observed, participants in this sample may have reduced their activities as a consequence of the disease, heterogeneous controls, patients from rehabilitiation center so moght participate in physical activity to a higher extent, energy expenditure realiability limited for MS, tremor subjects excluded, ",,,yes,yes,yes,applies partially,yes,applies partially,yes,no,yes,RW: Physical activity,,,,,,no,,yes,significant,actigraphy at ankle and wrist,yes,mixed,no,,no,,,no,,no,,no,,no,
Bourguignon,"Gosney J.L., Scott J.A., Snook E.M., Motl R.W.",2007,"Gosney et al, 2007",Physical activity and multiple sclerosis: Validity of self-report and objective measures,10.1097/01.FCH.0000264411.20766.0C,English,,,196,196 (88.3),88.26530612,173,173,46.1 (9.8),"RR: n=174, 
P/SP: n=22",,not reported,9.0 (7.1),not reported,not reported,none,none,-,-,-,#VALUE!,-,-,-,-,-,-,"Yamax SW-200 
Type of sensor: mechanical pedometer
Number of axes: 1
Number of wearables: 1
Position: not reported

ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: not reported","accelerometer, mechanical pedometer",Yamax SW-200 pedometer ,"Yamax Corporation, Tokyo, Japan",1,"(i) Excel,
(ii) SPSS (14)",frequency response range: 0.25-2.5 Hz,1,not reported,NA,1 (not reported),"during the waking hours, except while showering, bathing, and swimming (at home)",real-world,1,"ActiGraph single-axis accelerometer, model 7164 version","Health One Technology, Fort Walton Beach, FL",NA,at home,Yes,-,Yes,7 consecutive days starting Monday,7 days,0,correlation between scores,Spearman correlations,-,"mean, sd, range from scores","steps/day, counts of MTI accelerometer per day","Godin Leisure-Time Exercise Questionnaire for total leisure activity,  short-form of International Physical Activity Questionnaire for MET min/wk",findings would support the use of either objective devices or self-report measures in future studies;  provide a stronger and more compelling basis for the validity of scores from measures of physical activity among individuals with multiple sclerosis,-,,Suspected re-use of participants (see paper 4-5-6-7),yes,no,yes,applies partially,yes,yes,yes,no,no,RW: Physical activity,,,,,,no,,yes,significance not tested,"GLTEQ, IPAQ, MS-SR",no,,no,,no,,,no,,no,,no,,no,
Bourguignon,"Motl R.W., McAuley E., Snook E.M.",2007,"Motl et al, 2007","Physical activity and quality of life in multiple sclerosis: Possible roles of social support, self-efficacy, and functional limitations",10.1037/0090-5550.52.2.143,English,,,292,292 (83.9),83.90410959,245,245,"48.0 (10.3), range: 20-69","RR: n=246,
PP: n=12,
SP: n=34",,"inclusion criteria: being able to walk with or without a can (inclusion criterion), relapse free in last 30 days","10.3 (7.9), range: 1-35",not reported,not reported,none,none,-,-,-,#VALUE!,-,-,-,-,-,-,"ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: not reported",accelerometer,ActiGraph single-axis accelerometer (model 7164 version),"Manufacturing Technology Incorporated, Fort Walton Beach, FL",1,"(i) software provided with the ActiGraph,
(ii) Excel,
(iii) Mplus (3.0)",NA,1,not reported,NA,1 (not reported),"during the waking hours, except while showering, bathing and swimming (at home)",real-world,0,NA,NA,NA,NA,No,accelerometer used as proxy for physical activity along with self-reported measures,Yes,7 days,7 days,0,correlations and measures of model fit,"yes, corelation type not specified",-,chi-squred stqtistics and associated pvalues; SRMR; CFI; path coefficient; mean sd and range for different scores; beta coefficients,,"GLTEQ, Godin Leisure-Time Exercise Questionnaire; Accelerometer, accelerometer counts; LMSQOL, Leeds Multiple Sclerosis Quality of Life Scale; SLWS, Satisfaction with Life Scale; PDDS, Patient Determined Disease Steps Scale; HADS_A, Anxiety subscale of Hospital Anxiety and Depression Scale; HADS_D, Depression subscale of Hospital Anxiety and Depression Scale; FSS, Fatigue Severity Scale; MPQ, Short-form of McGill Pain Questionnaire; SPS, Social Provisions Scale; MSSE, Multiple Sclerosis Self-Efficacy Scale; EXSE, Exercise Self-Efficacy Scale.","The observed pattern of relationships supports the possibility that physical activity is indirectly associated with improved quality of life in individuals with MS via depression, fatigue, pain, social support and self-efficacy for managing MS.",the cross-sectional nature of the data precludes conclusions and inferences about the causal and directional relationships among variables;  possibility of alternative models for explaining the associations among physical activity and quality of life;  individuals who were already regular exercisers may have had more interest in participating in this study based on our recruitment of individuals interested in a study of physical activity and quality of life through MS society chapters; sample primarily consisted of Caucasian women with relapsing-remitting MS and this is generally consistent with the demographics of MS,,,yes,yes,yes,applies partially,applies partially,applies partially,yes,no,yes,RW: Physical activity,,,,,,yes,mixed,yes,mixed,"GLTEQ (mixed), LMSQOL (s), SLWS (s), HADS (mixed), FSS (s), SF-MPQ (s), SPS (s), MSSE (s), EXSE (s)",no,,no,,no,,,no,,no,,no,,no,
Bourguignon,"Hale L., Williams K., Ashton C., Connole T., McDowell H., Taylor C.",2007,"Hale et al, 2007",Reliability of RT3 accelerometer for measuring mobility in people with multiple sclerosis: Pilot study,10.1682/JRRD.2005.09.0155,English,,,10,10 (90.0),90,9,9,49 (9),"RR: n=7,
SP: n=3",,"EDSS: 3.5 (median), range: 1.5-6.0,
RMI: 13.5 (1.4), range: 11-15",16.3 (12.2),not reported,not reported,healthy,"healthy
n=10 (70% female)
age: 40 (6)",healthy nondisabled,10,7,70,40 (6),-,-,-,-,-,"TriTrac RT3
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: upper back",accelerometer,RT3 accelerometer (RT3),"Stayhealthy, Inc, Monrovia, California",3,"(i) RT3 assist software,
(ii) SPSS (12.0)",NA,1,posterior trunk,center of the back,1 (upper back),lab-setting,laboratory,0,NA,NA,NA,NA,Yes,-,No,"2 tests, one week apart",not reported,2,"reliability of RT3 in measuring walking, intraclass correlation coefficients",intraclass correlation coefficients,"ICC (95% CI), SEM (% difference)","mean vector magnitude (MVM) in activity units and MVM normalized by mobility data; counts per patient, mean and sd for each score; pvalues  comparing the scores between patients and controls",,"EDSS, 5-minute walk, timed up and go, stair climbing","Test-rest reliability of data collected 1 week apart at the same time of day with the RT3 accelerometer was moderate in people with MS and nondisabled adults for the 5-minute walk test, poor in both groups for the timed up and go test, and moderately high for stair climbing in the group with MS. RT3 appears to reliably measure walking and thus has the potential to be a mobility out- come measure both in adults with MS and in nondisabled adults.","pragmatic attachment method used in the present study may have allowed movement of the RT3 at the site of attachment', 'both participant groups demon- strated inconsistencies in the performance of repeated standardized motor tasks'",,,yes,yes,yes,yes,applies partially,yes,yes,no,yes,Lab: Physical activity,,,,,,no,,no,,"TUG, 5MWT, stairs climbing",yes,significance not tested,no,,no,,,yes,significant,no,,no,,no,
Bourguignon,"Motl R.W., Zhu W., Park Y., McAuley E., Scott J.A., Snook E.M.",2007,"Motl et al, 2007",Reliability of scores from physical activity monitors in adults with multiple sclerosis,10.1123/APAQ.24.3.245,English,,,193,193 (88.1),88.08290155,170,170,46.2 (9.7),"RR: n=171,
PP: n=3,
SP: n=19",,inclusion criteria: ambulatory with minimal assistance,9.0 (7.1),not reported,not reported,none,none,-,-,-,#VALUE!,-,-,-,-,-,-,"Yamax SW-200 
Type of sensor: mechanical pedometer
Number of axes: 1
Number of wearables: 1
Position: not reported

ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: not reported","accelerometer, mechanical pedometer",Yamax SW-200 pedometer ,"Yamax Corpo- ration, Tokyo, Japan",1,"(i) Excel,
(ii) SPSS (13.0)",frequency response range: 0.25-2.5 Hz,1,waist (non-dominant hip),"waist, non-dominant hip",1 (waist),"during the waking hours (except while showering, bath- ing, and swimming) ",real-world,1,"ActiGraph single-axis accelerometer, model 7164 version","Health One Technology, Fort Walton Beach, FL","waist, non-dominant hip",at home,Yes,-,Yes,7 consecutive days starting Monday,7 days,0,intra-class correlation between pedometer and accelerometer,single intra-class correlation (ICC),ICC,"steps per day, activity counts per day --> both total per day and combinations of days, mean, median, range, sd and 95%CI; ANOVA statistics and associated pvalues ",-,-,Results indicated that physical activity monitor scores are reliable measures of physical activity for individuals with MS.,only  focused on the number and type of days of pedometer and accelerometer monitoring that represented a week of physical activity in those with MS;  sample primarily consisted of women with relapsing-remitting MS and who were Caucasian; possible problem associated with compound symmetry in examinations of reliability,,Suspected reuse of data from paper 9,yes,yes,yes,applies partially,yes,yes,yes,no,yes,RW: Physical activity,,,,,,no,,no,,,no,,no,,no,,,yes,significance not tested,no,,no,,no,
