Authors,Year,First author and year,Title,DOI,Number of MS patients,"Thereof female, n",Age,average_age,Type of MS,Severity,Duration of disease in years,Treatments,Comorbidities,Comparator populuation Type (healthy or other),"Comparator population, number (number of females)",Wearable,Context,Duration wearable was worn,clinicaltrials.gov identifier (NCT),Does the study report a clearly defined research objective (including an outcome)?,Does the study adequately describe the inclusion/exclusion criteria?,"Does the study report on the population parameters/demographics (at least age, sex)?","Does the study report details on assessment of MS (severity [EDSS or PDSS], type)?","Does the study provide sufficient details on the wearables used (type, positioning of wearable, context, recording frequency)?",Does the study report proper statistical analysis? Correction for multiple comparisons?,"Does the study adequately report the strength of the results (e.g., reporting confidence intervals / standard deviations)?",Does the study make the data and/or code publicly available?,Do the authors report on the limitations of their study?,Domain1,Domain2,Domain3,Domain4,Association with MS severity,Association with MS severity - Effect,Association with other measure,Association with other measure - Effect,Group differences MS vs HC,Group differences MS vs HC - Effect,Group differences MS vs MS,Group differences MS vs MS - Effect,Group differences MS vs other diseases,Group differences MS vs other diseases - Effect,Test-retest reliability,Test-retest reliability - Effect,Responsiveness to change,Responsiveness to change - Effect,Responsiveness to intervention,Responsiveness to intervention - Effect,Subjective participant acceptability,Subjective participant acceptability - Effect,Comment
"Ng A.V., Kent-Braun J.A.",1997,"Ng et al, 1997",Quantitation of lower physical activity in persons with multiple sclerosis,10.1097/00005768-199704000-00014,17,11,46 (6),46,"RR: n=10,
P: n=8","EDSS: 3 (median), range: 1.5-6",not reported,"betaseron: n=2,
prednisone: n=2,
prozac: n=2,
baclofen: n=2,
cardiazem: n=1 (woman)","smoking: n=1 (male),
no cardiovascular, metabolic, or immunologic disorders",healthy,"healthy (sedentary)
n=15 (60% female)
age: 44 (7)","TriTrac R3D
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",real-world,7 days,,yes,yes,yes,yes,yes,yes,yes,no,yes,RW: Physical activity,,,,yes,non-significant,yes,non-significant,yes,some significant,no,,no,,no,,no,,no,,no,,
"Motl R.W., Snook E.M., McAuley E., Scott J.A., Douglass M.L.",2006,"Motl et al, 2006",Correlates of physical activity among individuals with multiple sclerosis,10.1207/S15324796ABM3202_13,196,173,46.1 (9.8),46.1,"RR: n=174,
PP: n=3,
SP: n=19",inclusion criteria: ambulatory with minimal assistance,9.0 (7.1),not reported,not reported,none,none,"ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: not reported",real-world,7 days,,yes,yes,yes,applies partially,applies partially,applies partially,yes,no,yes,RW: Physical activity,,,,no,,yes,significant,no,,no,,no,,no,,no,,no,,no,,
"Motl R.W., Snook E.M., McAuley E., Gliottoni R.C.",2006,"Motl et al, 2006","Symptoms, self-efficacy, and physical activity among individuals with multiple sclerosis",10.1002/NUR.20161,196,173,46.1 (9.8),46.1,"RR: n=174,
PP: n=3,
SP: n=19",inclusion criteria: ambulatory with minimal assistance,9 (7.1),not reported,not reported,none,none,"ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: not reported",real-world,7 days,,yes,yes,yes,applies partially,applies partially,applies partially,yes,no,yes,RW: Physical activity,,,,no,,yes,significant,no,,no,,no,,no,,no,,no,,no,,
"Motl R.W., McAuley E., Snook E.M., Scott J.A.",2006,"Motl et al, 2006",Validity of physical activity measures in ambulatory individuals with multiple sclerosis,10.1080/09638280600551476,30,28,"42.3 (9.5), range: 27-61",42.3,"RR: n=26, 
PP: n=2,
SP: n=2","EDSS: 2.5 (median), range: 0-5",6.2 (4.3),not reported,not reported,none,none,"Yamax SW-200 
Type of sensor: mechanical pedometer
Number of wearables: 1
Position: waist

ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: waist",real-world,7 days,,yes,no,yes,yes,yes,yes,yes,no,yes,RW: Physical activity,,,,no,,yes,significant,no,,no,,no,,no,,no,,no,,no,,
"Motl R.W., Snook E.M., McAuley E., Scott J.A., Gliottoni R.C.",2007,"Motl et al, 2007",Are Physical Activity and Symptoms Correlates of Functional Limitations and Disability in Multiple Sclerosis?,10.1037/0090-5550.52.4.463,133,104,51.1 (11.4),51.1,"RR: n=86,
PP: n=6, 
SP: n=41",not reported,12.0 (9.0),not reported,not reported,none,none,"ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: not reported",real-world,7 days,,yes,no,yes,applies partially,applies partially,applies partially,yes,no,yes,RW: Physical activity,,,,no,,yes,significant,no,,no,,no,,no,,no,,no,,no,,
"Kos, D; Nagels, G; D'Hooghe, MB; Duquet, W; Ilsbroukx, S; Delbeke, S; Kerckhofs, E",2007,"Kos et al, 2007",Measuring activity patterns using actigraphy in multiple sclerosis,10.1080/07420520701282364,19,9,47.2 (12.1),47.2,not reported: n=19,EDSS: 5.5 [5-6],not reported,not reported,not reported,healthy,"healthy
n=10 (60% female)
age: 39.6 (12.3)","ActiGraph
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 2
Position: wrist, ankle",real-world,3 days,,yes,yes,yes,applies partially,yes,applies partially,yes,no,yes,RW: Physical activity,,,,no,,yes,significant,yes,some significant,no,,no,,no,,no,,no,,no,,
"Gosney J.L., Scott J.A., Snook E.M., Motl R.W.",2007,"Gosney et al, 2007",Physical activity and multiple sclerosis: Validity of self-report and objective measures,10.1097/01.FCH.0000264411.20766.0C,196,173,46.1 (9.8),46.1,"RR: n=174, 
P: n=22",not reported,9.0 (7.1),not reported,not reported,none,none,"Yamax SW-200 
Type of sensor: mechanical pedometer
Number of axes: 1
Number of wearables: 1
Position: not reported

ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: not reported",real-world,7 days,,yes,no,yes,applies partially,yes,yes,yes,no,no,RW: Physical activity,,,,no,,yes,significance not tested,no,,no,,no,,no,,no,,no,,no,,
"Motl R.W., McAuley E., Snook E.M.",2007,"Motl et al, 2007","Physical activity and quality of life in multiple sclerosis: Possible roles of social support, self-efficacy, and functional limitations",10.1037/0090-5550.52.2.143,292,245,"48.0 (10.3), range: 20-69",48,"RR: n=246,
PP: n=12,
SP: n=34",inclusion criteria: being able to walk,"10.3 (7.9), range: 1-35",not reported,not reported,none,none,"ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: not reported",real-world,7 days,,yes,yes,yes,applies partially,applies partially,applies partially,yes,no,yes,RW: Physical activity,,,,yes,some significant,yes,some significant,no,,no,,no,,no,,no,,no,,no,,
"Hale L., Williams K., Ashton C., Connole T., McDowell H., Taylor C.",2007,"Hale et al, 2007",Reliability of RT3 accelerometer for measuring mobility in people with multiple sclerosis: Pilot study,10.1682/JRRD.2005.09.0155,10,9,49 (9),49,"RR: n=7,
SP: n=3","EDSS: 3.5 (median), range: 1.5-6.0",16.3 (12.2),not reported,not reported,healthy,"healthy
n=10 (70% female)
age: 40 (6)","TriTrac RT3
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: upper back",laboratory,not reported,,yes,yes,yes,yes,applies partially,yes,yes,no,yes,Lab: Physical activity,,,,no,,no,,yes,significance not tested,no,,no,,yes,significant,no,,no,,no,,
"Motl R.W., Zhu W., Park Y., McAuley E., Scott J.A., Snook E.M.",2007,"Motl et al, 2007",Reliability of scores from physical activity monitors in adults with multiple sclerosis,10.1123/APAQ.24.3.245,193,170,46.2 (9.7),46.2,"RR: n=171,
PP: n=3,
SP: n=19",inclusion criteria: ambulatory with minimal assistance,9.0 (7.1),not reported,not reported,none,none,"Yamax SW-200 
Type of sensor: mechanical pedometer
Number of axes: 1
Number of wearables: 1
Position: not reported

ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: not reported",real-world,7 days,,yes,yes,yes,applies partially,yes,yes,yes,no,yes,RW: Physical activity,,,,no,,no,,no,,no,,no,,yes,significance not tested,no,,no,,no,,
"Kayes N.M., McPherson K.M., Taylor D., Schluter P.J., Wilson B.-J.K., Kolt G.S.",2007,"Kayes et al, 2007","The Physical Activity and Disability Survey (PADS): Reliability, validity and acceptability in people with multiple sclerosis",10.1177/0269215507075516,30,23,"54 (median), range: 27-76",54,not reported: n=30,not reported,not reported,not reported,not reported,none,none,"Actical
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1 (non-wheelchair user), 2 (wheelchair users)
Position: waist, wrist (wheelchair users only)",real-world,7 days,,yes,applies partially,yes,no,yes,applies partially,yes,no,yes,RW: Physical activity,,,,no,,no,,no,,no,,no,,yes,non-significant,no,,no,,no,,
"Klassen L., Schachter C., Scudds R.",2008,"Klassen et al, 2007",An exploratory study of two measures of free-living physical activity for people with multiple sclerosis,10.1177/0269215507082740,30,19,"inactive: 47.7 (8.6)
mod active: 50.6 (4.5)
active: 44.4 (7.8)",47.7,not reported: n=30,EDSS: range: 1-6,not reported,not reported,not reported,healthy,"healthy
n=9 (89% female)
age: 41.6 (4.4), range: 37-51","TriTrac RT3
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",real-world,4 days,,yes,yes,yes,applies partially,yes,yes,yes,no,yes,RW: Physical activity,,,,yes,significant,yes,significant,yes,some significant,yes,some significant,no,,no,,no,,no,,no,,
"Motl R.W., Snook E.M.",2008,"Motl et al, 2008",Confirmation and extension of the validity of the Multiple Sclerosis Walking Scale-12 (MSWS-12),10.1016/J.JNS.2007.11.003,133,104,51.1 (11.1),51.1,"RR: n=85,
PP: n=6,
SP: n=52",EDSS: 4.9 (2.0),12.0 (9.0),not reported,not reported,none,none,"ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: not reported",real-world,7 days,,yes,no,yes,yes,applies partially,applies partially,yes,no,yes,RW: Physical activity,,,,no,,yes,significance not tested,no,,no,,no,,no,,no,,no,,no,,
"Motl R.W., McAuley E., Snook E.M., Gliottoni R.C.",2008,"Motl et al, 2008",Does the relationship between physical activity and quality of life differ based on generic versus disease-targeted instruments?,10.1007/S12160-008-9049-4,292,245,48.0 (10.3),48,"RR: n=246,
PP: n=12,
SP: n=34",inclusion criteria: being ambulatory with minimal assistance,10.3 (7.9),not reported,not reported,none,none,"ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: not reported",real-world,7 days,,yes,yes,yes,applies partially,applies partially,applies partially,yes,no,yes,RW: Physical activity,,,,no,,yes,significant,no,,no,,no,,no,,no,,no,,no,,
"Hale L.A., Pal J., Becker I.",2008,"Hale et al, 2008",Measuring Free-Living Physical Activity in Adults With and Without Neurologic Dysfunction With a Triaxial Accelerometer,10.1016/J.APMR.2008.02.027,11,8,"63.7 (15.5), range: 28-91",63.7,not reported: n=11,"Rivermead Mobility Index: 12.4 (2.2), range: 8-15",not reported,not reported,not reported,healthy,"healthy (sedentary)
n=9 (89% female)
age: 51 (18.1), range: 28-76","TriTrac RT3
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",real-world,7 days,,yes,yes,yes,no,yes,applies partially,yes,no,yes,RW: Physical activity,,,,no,,no,,yes,significance not tested,no,,yes,significance not tested,yes,significant,no,,no,,yes,significance not tested,
"Snook E.M., Motl R.W.",2008,"Snook et al, 2008","Physical Activity Behaviors in Individuals with Multiple Sclerosis: Roles of Overall and Specific Symptoms, and Self-Efficacy",10.1016/J.JPAINSYMMAN.2007.09.007,80,65,49.0 (11.4),49,"RR: n=62,
PP: n=1,
SP: n=15,
benign: n=2",EDSS: 3.9 (1.8),10.1 (7.9),not reported,not reported,none,none,"ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: not reported",real-world,7 days,,yes,applies partially,yes,yes,yes,applies partially,yes,no,yes,RW: Physical activity,,,,no,,yes,significant,no,,no,,no,,no,,no,,no,,no,,
"Motl R.W., Snook E.M., Wynn D.R., Vollmer T.",2008,"Motl et al, 2008",Physical activity correlates with neurological impairment and disability in multiple sclerosis,10.1097/NMD.0B013E318177351B,80,65,49.0 (11.4),49,"RR: n=65,
PP: n=1,
SP: n=14","EDSS: 4 (mean), range: 1-6.5",10.1 (7.9),not reported,not reported,none,none,"ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: not reported",real-world,7 days,,yes,no,yes,yes,applies partially,applies partially,yes,no,yes,RW: Physical activity,,,,yes,significant,yes,some significant,no,,no,,no,,no,,no,,no,,no,,
"Motl R.W., Snook E.M., Agiovlasitis S., Suh Y.",2009,"Motl et al, 2009",Calibration of Accelerometer Output for Ambulatory Adults With Multiple Sclerosis,10.1016/J.APMR.2009.03.020,24,20,43.5 (12.2),43.5,"RR: n=21,
PP: n=1,
benign: n=2",PDDS: 1.5 (1.4),9.1 (7.3),not reported,"exclusion criteria: no patients with family history of coronary heart disease, cigarette smoking, hypertension, high cholesterol, diabetes, obesity, and sedentary lifestyle",healthy,"healthy
n=24 (83% female)
age: 40.9 (11.4)","ActiGraph
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: waist",laboratory,not reported,,yes,yes,yes,yes,yes,applies partially,yes,no,yes,Lab: Physical activity,,,,no,,yes,significance not tested,yes,significance not tested,no,,no,,no,,no,,no,,no,,
