Authors,Year,First author and year,Title,DOI,Number (% female),Age,Type of MS,Severity,Duration of disease in years,Treatments,Comorbidities,"Comparator population, number (number of females)",Wearable,Context,Duration wearable was worn,Does the study have a clearly defined research objective (including an outcome)?,Does the study adequately describe the inclusion/exclusion criteria?,"Does the study report on the population parameters/demographics (at least age, sex)?","Does the study report details on assessment of MS (severity [EDSS or PDSS], type)?","Does the study provide sufficient details on the wearables used (type, positioning of wearable, context, recording frequency)?",Does the study apply proper statistical analysis? Correction for multiple comparisons?,"Does the study adequately report the strength of the results (e.g., ways of calculating effect sizes, reporting confidence intervals/standard deviation?",Does the study make the data and/or code publicly available?,Do the authors report on the limitations of their study?,sensors_type_plot,axes
"Ng A.V., Kent-Braun J.A.",1997,"Ng et al, 1997",Quantitation of lower physical activity in persons with multiple sclerosis,10.1097/00005768-199704000-00014,17 (64.7),46 (6),"RR: n=10,
CP: n=8","EDSS : 3 (median), range: 1.5-6,
FSS: 4.9 (1.2), range: 1.9-6.9,
MRC: 3.7 (1.5), range: 0-5,
MVC : 110.7 (66.8), range: 161.0-47.9",not reported,"betaseron: n=2,
prednisone: n=2,
prozac: n=2,
baclofen: n=2,
cardiazem: n=1 (woman)","smoking: n=1 (male),
no cardiovascular, metabolic, or immunologic disorders","healthy sedentary
n=15 (60% female)
age: 44 (7)","TriTrac-R3D
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: waist
",real-life setting,7 days,yes,yes,yes,yes,yes,yes,yes,no,yes,accelerometer,3
"Motl R.W., Snook E.M., McAuley E., Scott J.A., Douglass M.L.",2006,"Motl et al, 2006",Correlates of physical activity among individuals with multiple sclerosis,10.1207/S15324796ABM3202_13,196 (88.3),46.1 (9.8),"RR: n=174,
PP: n=3,
SP: n=19","inclusion criteria: ambulatory with minimal assistance (i.e., walking with or without a cane)",9.0 (7.1),not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Primary position: not reported",real-life setting,7 days,yes,yes,yes,applies partially,applies partially,applies partially,yes,no,yes,accelerometer,1
"Motl R.W., Snook E.M., McAuley E., Gliottoni R.C.",2006,"Motl et al, 2006","Symptoms, self-efficacy, and physical activity among individuals with multiple sclerosis",10.1002/NUR.20161,196 (88.3),46.1 (9.8),"RR: n=174,
PP: n=3,
SP: n=19","inclusion criteria: ambulatory with minimal assistance (i.e., walking with or without a cane)",9 (7.1),not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Primary position: not reported",real-life setting,7 days,yes,yes,yes,applies partially,applies partially,applies partially,yes,no,yes,accelerometer,1
"Motl R.W., McAuley E., Snook E.M., Scott J.A.",2006,"Motl et al, 2006",Validity of physical activity measures in ambulatory individuals with multiple sclerosis,10.1080/09638280600551476,30 (93.3),"42.3 (9.5), range: 27-61","RR: n= 26, 
PP: n=2,
SP: n=2","EDSS: 2.5 (median), range: 0-5, 
inclusion criteria: participants were ambulatory without an aide",6.2 (4.3),not reported,not reported,none,"Yamax SW-200 
Type of sensor: accelerometer, pedometer
Number of axes: 1
Number of wearables: 2
Primary position: waist",real-life setting,7 days,yes,no,yes,yes,yes,yes,yes,no,yes,accelerometer,1
"Motl R.W., Snook E.M., McAuley E., Scott J.A., Gliottoni R.C.",2007,"Motl et al, 2007",Are Physical Activity and Symptoms Correlates of Functional Limitations and Disability in Multiple Sclerosis?,10.1037/0090-5550.52.4.463,133 (78.2),51.1 (11.4),"RR: n=86,
PP: n=6, 
SP: n=41",not reported,12.0 (9.0),not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Primary position: not reported",real-life setting,7 days,yes,no,yes,applies partially,applies partially,applies partially,yes,no,yes,accelerometer,1
"Kos, D; Nagels, G; D'Hooghe, MB; Duquet, W; Ilsbroukx, S; Delbeke, S; Kerckhofs, E",2007,"Kos et al, 2007",Measuring activity patterns using actigraphy in multiple sclerosis,10.1080/07420520701282364,19 (47.4),47.2 (12.1),not reported,EDSS: 5.5 [5-6],not reported,not reported,not reported,"healthy
n=10 (60% female)
age: 39.6 (12.3)","ActiGraph
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 2
Primary position: wrist, ankle",real-life setting,3 days,yes,yes,yes,applies partially,yes,applies partially,yes,no,yes,accelerometer,3
"Gosney J.L., Scott J.A., Snook E.M., Motl R.W.",2007,"Gosney et al, 2007",Physical activity and multiple sclerosis: Validity of self-report and objective measures,10.1097/01.FCH.0000264411.20766.0C,196 (88.3),46.1 (9.8),"RR: n=174, 
P/SP: n=22",not reported,9.0 (7.1),not reported,not reported,none,"Yamax SW-200
Type of sensor: accelerometer, pedometer
Number of axes: 1
Number of wearables: 2
Primary position: not reported",real-life setting,7 days,yes,no,yes,applies partially,yes,yes,yes,no,no,accelerometer,1
"Motl R.W., McAuley E., Snook E.M.",2007,"Motl et al, 2007","Physical activity and quality of life in multiple sclerosis: Possible roles of social support, self-efficacy, and functional limitations",10.1037/0090-5550.52.2.143,292 (83.9),"48.0 (10.3), range: 20-69","RR: n=246,
PP: n=12,
SP: n=34","inclusion criteria: being able to walk with or without a can (inclusion criterion), relapse free in last 30 days","10.3 (7.9), range: 1-35",not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Primary position: not reported",real-life setting,7 days,yes,yes,yes,applies partially,applies partially,applies partially,yes,no,yes,accelerometer,1
"Hale L., Williams K., Ashton C., Connole T., McDowell H., Taylor C.",2007,"Hale et al, 2007",Reliability of RT3 accelerometer for measuring mobility in people with multiple sclerosis: Pilot study,10.1682/JRRD.2005.09.0155,10 (90.0),49 (9),"RR: n=7,
SP: n=3","EDSS: 3.5 (median), range: 1.5-6.0,
RMI: 13.5 (1.4), range: 11-15",16.3 (12.2),not reported,not reported,"healthy
n=10 (70% female)
age: 40 (6)","RT3 accelerometer 
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: upper back",lab setting (controlled),not reported,yes,yes,yes,yes,applies partially,yes,yes,no,yes,accelerometer,3
"Motl R.W., Zhu W., Park Y., McAuley E., Scott J.A., Snook E.M.",2007,"Motl et al, 2007",Reliability of scores from physical activity monitors in adults with multiple sclerosis,10.1123/APAQ.24.3.245,193 (88.1),46.2 (9.7),"RR: n=171,
PP: n=3,
SP: n=19",inclusion criteria: ambulatory with minimal assistance,9.0 (7.1),not reported,not reported,none,"Yamax SW-200
Type of sensor: accelerometer, pedometer
Number of axes: 1
Number of wearables: 1
Primary position: waist",real-life setting,7 days,yes,yes,yes,applies partially,yes,yes,yes,no,yes,accelerometer,1
