Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,"Massimiliano Pau, Micaela Porta, Giancarlo Coghe, Eleonora Cocco","What gait features influence the amount and intensity of physical activity in people with multiple sclerosis?",2021,"Medicine","","","",1,"2021-03-18 10:40:39","Journal Article","10.1097/MD.0000000000024931","1536-5964","",100,9,,,0,0.00,0,4,1,"Although the mutual relationship between ambulation and physical activity (PA) in people with multiple sclerosis (pwMS) has been described in several studies, there is still a lack of detailed information about the way in which specific aspects of the gait cycle are associated with amount and intensity of PA. This study aimed to verify the existence of possible relationships among PA parameters and the spatio-temporal parameters of gait when both are instrumentally assessed.Thirty-one pwMS (17F, 14 M, mean age 52.5, mean Expanded Disability Status Scale (EDSS) score 3.1) were requested to wear a tri-axial accelerometer 24 hours/day for 7 consecutive days and underwent an instrumental gait analysis, performed using an inertial sensor located on the low back, immediately before the PA assessment period. Main spatio-temporal parameters of gait (i.e., gait speed, stride length, cadence and duration of stance, swing, and double support phase) were extracted by processing trunk accelerations. PA was quantified using average number of daily steps and percentage of time spent at different PA intensity, the latter calculated using cut-point sets previously validated for MS. The existence of possible relationships between PA and gait parameters was assessed using Spearman rank correlation coefficient rho.Gait speed and stride length were the parameters with the highest number of significant correlations with PA features. In particular, they were found moderately to largely correlated with number of daily steps (rho 0.62, P< .001), percentage of sedentary activity (rho = -0.44, P < .001) and percentage of moderate-to-vigorous activity (rho = 0.48, P < .001). Small to moderate significant correlations were observed between PA intensity and duration of stance, swing and double support phases.The data obtained suggest that the most relevant determinants associated with higher and more intense levels of PA in free-living conditions are gait speed and stride length. The simultaneous quantitative assessment of gait parameters and PA levels might represent a useful support for physical therapists in tailoring optimized rehabilitative and training interventions."
0,"Linh Pham, Thomas Harris, Mihael Varosanec, Vanessa Morgan, Peter Kosa, Bibiana Bielekova","Smartphone-based symbol-digit modalities test reliably captures brain damage in multiple sclerosis.",2021,"NPJ digital medicine","","","",2,"2021-03-18 10:40:39","Journal Article","10.1038/s41746-021-00401-y","2398-6352","",4,1,36,,0,0.00,0,6,1,"As the burden of neurodegenerative diseases increases, time-limited clinic encounters do not allow quantification of complex neurological functions. Patient-collected digital biomarkers may remedy this, if they provide reliable information. However, psychometric properties of digital tools remain largely un-assessed. We developed a smartphone adaptation of the cognitive test, the Symbol-Digit Modalities Test (SDMT) by randomizing the test's symbol-number codes and testing sequences. The smartphone SDMT showed comparable psychometric properties in 154 multiple sclerosis (MS) patients and 39 healthy volunteers (HV). E.g., smartphone SDMT achieved slightly higher correlations with cognitive subscores of neurological examinations and with brain injury measured by MRI (R2 = 0.75, Rho = 0.83, p < 0.0001) than traditional SDMT. Mathematical adjustment for motoric disability of the dominant hand, measured by another smartphone test, compensates for the disadvantage of touch-based test. Averaging granular home measurements of the digital biomarker also increases accuracy of identifying true neurological decline."
0,"Stefan Teufl, Jenny Preston, Frederike van Wijck, Ben Stansfield","Quantifying upper limb tremor in people with multiple sclerosis using Fast Fourier Transform based analysis of wrist accelerometer signals.",2021,"Journal of rehabilitation and assistive technologies engineering","","","",3,"2021-03-18 10:40:39","Journal Article","10.1177/2055668320966955","2055-6683","",8,,2147483647,,0,0.00,0,4,1,"Tremor is a disabling symptom of Multiple Sclerosis (MS). The development of objective methods of tremor characterisation to assess intervention efficacy and disease progression is therefore important. The possibility of using a Fast Fourier Transform (FFT) method for tremor detection was explored. Acceleration from a wrist-worn device was analysed using FFTs to identify and characterise tremor magnitude and frequency. Processing parameters were explored to provide insight into the optimal algorithm. Participants wore a wrist tri-axial accelerometer during 9 tasks. The FAHN clinical assessment of tremor was used as the reference standard. Five people with MS and tremor (57.6 ± 15.3 years, 3 F/2M) and ten disease-free controls (42.4 ± 10.9 years, 5 M/5F) took part. Using specific algorithm settings tremor identification was possible (peak frequency 3-15Hz; magnitude greater than 0.06 g; 2 s windows with 50% overlap; using 2 of 3 axes of acceleration), giving sensitivity 0.974 and specificity 0.971 (38 tremor occurrences out of 108 tasks, 1 false positive, 2 false negatives). Tremor had frequency 3.5-13.0 Hz and amplitude 0.07-2.60g. Upper limb tremor in people with MS can be detected using a FFT approach based on acceleration recorded at the wrist, demonstrating the possibility of using this minimally encumbering technique within clinical practice."
0,"Andrea Vernerová, Lenka Kujovská Krčmová, Bohuslav Melichar, František Švec","Non-invasive determination of uric acid in human saliva in the diagnosis of serious disorders.",2020,"Clinical chemistry and laboratory medicine","","","",4,"2021-03-18 10:40:39","Journal Article","10.1515/cclm-2020-1533","1437-4331","",,,,,0,0.00,0,4,1,"This review summarizes and critically evaluates the published approaches and recent trends in sample pre-treatment, as well as both separation and non-separation techniques used for the determination of uric acid (UA) in saliva. UA is the final product of purine nucleotide catabolism in humans. UA concentrations in biological fluids such as serum, plasma, and urine represent an important biomarker of diseases including gout, hyperuricemia, or disorders associated with oxidative stress. Previous studies reported correlation between UA concentrations detected in saliva and in the blood. The interest in UA has been increasing during the past 20 years from a single publication in 2000 to 34 papers in 2019 according to MEDLINE search using term ""uric acid in saliva"". The evaluation of salivary UA levels can contribute to non-invasive diagnosis of many serious diseases. Increased salivary UA concentration is associated with cancer, HIV, gout, and hypertension. In contrast, low UA levels are associated with Alzheimer disease, progression of multiple sclerosis, and mild cognitive impairment."
0,"F A Panizzolo, S Cimino, E Pettenello, A Belfiore, N Petrone, G Marcolin","Effect of a passive hip exoskeleton on walking distance in neurological patients.",2021,"Assistive technology : the official journal of RESNA","","","",5,"2021-03-18 10:40:39","Journal Article","10.1080/10400435.2021.1880494","1949-3614","",,,1,6,0,0.00,0,6,1,"Severe neurodegenerative diseases such as Parkinson's disease or multiple sclerosis and acute events like stroke, spinal cord injuries, or other related pathologies have been shown to negatively impact the central and peripheral nervous systems, thus causing severe impairments to mobility. The development and utilization of exoskeletons as rehabilitation devices have shown good potential for improving patients' gait function. Ten older adults (age: 68.9 ± 9.2 yrs; height: 1.65 ± 0.08 m; mass: 71.6 ± 11.0 kg) affected by neurological diseases impacting their gait function completed a 10-session gait training protocol where they walked for 10 minutes wearing a passive exoskeleton assisting hip flexion, namely, Exoband. Results showed that participants walked a significantly longer distance in the last session of training with respect to the first session (453.1 ± 178.8 m vs 392.4 ± 135.1 m, respectively). This study indicates the potential of Exoband as an effective tool for gait rehabilitation in patients with neurological diseases. Wearable, lightweight, and low-cost devices such as the one involved in this work have the potential to improve walking distance in patients."
0,"Hui Lu, Peng-Fei Wu, Rui-Zhuo Li, Wan Zhang, Guo-Xiang Huang","Relationships between accelerometer-measured and multiple sclerosis: a 2-sample Mendelian randomization study.",2021,"Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology","","","",6,"2021-03-18 10:40:39","Journal Article","10.1007/s10072-020-04953-x","1590-3478","",,,,,0,0.00,0,5,1,"Observational studies suggest that physical activity (PA) can independently modify the risk of developing multiple sclerosis (MS). To investigate the causal effect of PA on MS by Mendelian randomization (MR) approaches. Through a genome-wide association study including 91,105 participants from UK Biobank, we obtained 5 single-nucleotide polymorphisms (SNPs) associated with accelerometer-measured PA (P < 5 × 10-8). Summary-level data for MS were obtained from a meta-analysis, incorporating 14,802 subjects with MS and 26,703 healthy controls of European ancestry. MR analyses were performed using the inverse-variance-weighted method, weighted median estimator, and MR-PRESSO method. Additional analyses were further performed using MR-Egger intercept and Cochran's Q statistic to verify the robustness of our findings. We failed to detect a causal effect of PA on MS (OR, 0.60; 95% confidence interval [CI], 0.30-1.20; P = 0.15) per in the random-effects IVW analysis. Additional MR methods yielded consistent results. MR-Egger regression suggested no evidence of horizontal pleiotropy (Intercept = 0.14, P = 0.21) and there seemed no substantial heterogeneity (I2 = 29.8%, P = 0.22) among individual SNPs. Our findings suggest that enhancing PA might not modify the risk of developing MS independent of established risk factors."
0,"Ulric S Abonie, Florentina J Hettinga","Effect of a Tailored Activity Pacing Intervention on Fatigue and Physical Activity Behaviours in Adults with Multiple Sclerosis.",2020,"International journal of environmental research and public health","","","",7,"2021-03-18 10:40:39","Journal Article","10.3390/ijerph18010017","1660-4601","",18,1,,,0,0.00,0,2,1,"Tailored activity pacing could help manage fatigue and improve physical activity. However, little is known about how to tailor activity pacing for people with multiple sclerosis. This study aims to evaluate the effect of a tailored activity pacing intervention on fatigue and physical activity behaviours in adults with multiple sclerosis. Twenty-one adults with multiple sclerosis, stratified by age and gender, are randomly allocated to either a tailored pacing or control group. Participants wear an accelerometer for seven days that measures physical activity behaviours, and self-report fatigue at the baseline and four-week follow-up. Physical activity behaviours are assessed by examining activity level (seven-day average activity counts per minute) and activity variability (seven-day average highest activity counts each day divided by activity counts on that day). The intervention improves activity levels (Mean difference = 40.91; 95% Confidence Interval [CI] (3.84-77.96); p = 0.03) and lessens activity variability (Mean difference = -0.63; 95% CI (-1.25-0.02); p = 0.04). No significant effect is found for fatigue (Mean difference = -0.36; 95% CI (-1.02-0.30); p = 0.27). This investigation shows that tailoring activity pacing based on physical activity behaviours and fatigue is effective in improving physical activity levels, without exacerbating fatigue symptoms."
0,"Charlotte M Stuart, Aravinthan Varatharaj, Janine Domjan, Sheaba Philip, Ian Galea","Physical activity monitoring to assess disability progression in multiple sclerosis.",2020,"Multiple sclerosis journal - experimental, translational and clinical","","","",8,"2021-03-18 10:40:39","Journal Article","10.1177/2055217320975185","2055-2173","",6,4,2147483647,,0,0.00,0,5,1,"Clinical outcome measurement in multiple sclerosis (MS) usually requires a physical visit. Remote activity monitoring (RAM) using wearable technology provides a rational alternative, especially desirable when distance is involved or in a pandemic setting. To validate RAM in progressive MS using (1) traditional psychometric methods (2) brain atrophy. 56 people with progressive MS participated in a longitudinal study over 2.5 years. An arm-worn RAM device measured activity over six days, every six months, and incorporated triaxial accelerometry and transcutaneous physiological variable measurement. Five RAM variables were assessed: physical activity duration, step count, active energy expenditure, metabolic equivalents and a composite RAM score incorporating all four variables. Other assessments every six months included EDSS, MSFC, MSIS-29, Chalder Fatigue Scale and Beck's Depression Inventory. Annualized brain atrophy was measured using SIENA. RAM was tolerated well by people with MS; the device was worn 99.4% of the time. RAM had good convergent and divergent validity and was responsive, especially with respect to step count. Measurement of physical activity over one day was as responsive as six days. The composite RAM score positively correlated with brain volume loss. Remote activity monitoring is a valid and acceptable outcome measure in MS."
0,"Alzhraa A Ibrahim, Arne Küderle, Heiko Gaßner, Jochen Klucken, Bjoern M Eskofier, Felix Kluge","Inertial sensor-based gait parameters reflect patient-reported fatigue in multiple sclerosis.",2020,"Journal of neuroengineering and rehabilitation","","","",9,"2021-03-18 10:40:39","Journal Article","10.1186/s12984-020-00798-9","1743-0003","",17,1,165,,0,0.00,0,6,1,"Multiple sclerosis (MS) is a disabling disease affecting the central nervous system and consequently the whole body's functional systems resulting in different gait disorders. Fatigue is the most common symptom in MS with a prevalence of 80%. Previous research studied the relation between fatigue and gait impairment using stationary gait analysis systems and short gait tests (e.g. timed 25 ft walk). However, wearable inertial sensors providing gait data from longer and continuous gait bouts have not been used to assess the relation between fatigue and gait parameters in MS. Therefore, the aim of this study was to evaluate the association between fatigue and spatio-temporal gait parameters extracted from wearable foot-worn sensors and to predict the degree of fatigue. Forty-nine patients with MS (32 women; 17 men; aged 41.6 years, EDSS 1.0-6.5) were included where each participant was equipped with a small Inertial Measurement Unit (IMU) on each foot. Spatio-temporal gait parameters were obtained from the 6-min walking test, and the Borg scale of perceived exertion was used to represent fatigue. Gait parameters were normalized by taking the difference of averaged gait parameters between the beginning and end of the test to eliminate inter-individual differences. Afterwards, normalized parameters were transformed to principle components that were used as input to a Random Forest regression model to formulate the relationship between gait parameters and fatigue. Six principal components were used as input to our model explaining more than 90% of variance within our dataset. Random Forest regression was used to predict fatigue. The model was validated using 10-fold cross validation and the mean absolute error was 1.38 points. Principal components consisting mainly of stride time, maximum toe clearance, heel strike angle, and stride length had large contributions (67%) to the predictions made by the Random Forest. The level of fatigue can be predicted based on spatio-temporal gait parameters obtained from an IMU based system. The results can help therapists to monitor fatigue before and after treatment and in rehabilitation programs to evaluate their efficacy. Furthermore, this can be used in home monitoring scenarios where therapists can monitor fatigue using IMUs reducing time and effort of patients and therapists."
0,"Birsen Can Demirdöğen","A literature review of biosensors for multiple sclerosis: Towards personalized medicine and point-of-care testing.",2021,"Multiple sclerosis and related disorders","","","",10,"2021-03-18 10:40:39","Journal Article","10.1016/j.msard.2020.102675","2211-0356","",48,,102675,,0,0.00,0,1,1,"Multiple sclerosis (MS) is a chronic neuroinflammatory disease of the central nervous system that leads to severe motor and sensory deficits in patients. Although some biomolecules in serum or cerebrospinal fluid have been suggested as biomarkers for MS diagnosis, following disease activity and monitoring treatment response, most of these potential biomarkers are not currently in clinical use and available for all patients. The reasons behind this are generally related to insufficient robustness of biomarker or technical difficulties, high prices, and requirements for technical personnel for their detection. Point-of-care testing (POCT) is an emerging field of healthcare that can be applied at the hospital as well as at home without the need for a centralized laboratory. Biosensor devices offer a convenient means for POCT. A biosensor is a compact analytical device that uses a bioreceptor, such as an antibody, enzyme, or oligonucleotide, to capture the analyte of interest. The interaction between the analyte and the bioreceptor is sensed and transduced into a suitable signal by the signal transducer. The advantages of using a biosensor for detecting the biomolecule of interest include speed, simplicity, accuracy, relatively lower cost, and lack of requirements for highly qualified personnel to perform the testing. Owing to these advantages and with the help of innovations in biosensor development technologies, there has been a great interest in developing biosensor devices for MS in recent years. Hence, the purpose of this review was to provide researchers with an up-to-date summary of the literature as well as to highlight the challenges and opportunities in this translational research field. In addition, because this is a highly interdisciplinary field of study, potentially concerning MS specialists, neurologists, biomedical researchers, and engineers, another aim of this review was to bridge the gap between these disciplines."
