Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
25,"J. Barker","Physical activity of UK adults with chronic disease: Cross-sectional analysis of accelerometer-measured physical activity in 96 706 UK Biobank participants",2019,"International Journal of Epidemiology","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85064534493&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85064534493&origin=inward",1,"2021-03-18 10:41:19","Article","10.1093/ije/dyy294","0300-5771","https://api.elsevier.com/content/abstract/scopus_id/85064534493",48,4,1167,1174,25,12.50,25,1,2,""
19,"R. Bove","Toward a low-cost, in-home, telemedicine-enabled assessment of disability in multiple sclerosis",2019,"Multiple Sclerosis Journal","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85053300344&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85053300344&origin=inward",2,"2021-03-18 10:41:19","Article","10.1177/1352458518793527","1352-4585","https://api.elsevier.com/content/abstract/scopus_id/85053300344",25,11,1526,1534,19,9.50,19,1,2,""
18,"J.H.T. Luong","Biotin interference in immunoassays based on biotin-strept(avidin) chemistry: An emerging threat",2019,"Biotechnology Advances","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85062811073&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85062811073&origin=inward",3,"2021-03-18 10:41:19","Review","10.1016/j.biotechadv.2019.03.007","0734-9750","https://api.elsevier.com/content/abstract/scopus_id/85062811073",37,5,634,641,18,9.00,18,1,2,""
16,"L. Midaglia","Adherence and satisfaction of smartphone- And smartwatch-based remote active testing and passive monitoring in people with multiple sclerosis: Nonrandomized interventional feasibility study",2019,"Journal of Medical Internet Research","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85071754337&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85071754337&origin=inward",4,"2021-03-18 10:41:19","Article","10.2196/14863","1438-8871","https://api.elsevier.com/content/abstract/scopus_id/85071754337",21,8,,,16,8.00,16,1,2,""
16,"V.J. Block","Association of Continuous Assessment of Step Count by Remote Monitoring With Disability Progression Among Adults With Multiple Sclerosis",2019,"JAMA network open","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85062960445&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85062960445&origin=inward",5,"2021-03-18 10:41:19","Article","10.1001/jamanetworkopen.2019.0570","2574-3805","https://api.elsevier.com/content/abstract/scopus_id/85062960445",2,3,,,16,8.00,16,1,2,""
16,"R.A. Marrie","Use of eHealth and mHealth technology by persons with multiple sclerosis",2019,"Multiple Sclerosis and Related Disorders","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85054190262&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85054190262&origin=inward",6,"2021-03-18 10:41:19","Article","10.1016/j.msard.2018.09.036","2211-0348","https://api.elsevier.com/content/abstract/scopus_id/85054190262",27,,13,19,16,8.00,16,1,2,""
15,"M.I. Mohamed Refai","Gait and Dynamic Balance Sensing Using Wearable Foot Sensors",2019,"IEEE transactions on neural systems and rehabilitation engineering : a publication of the IEEE Engineering in Medicine and Biology Society","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85061561197&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85061561197&origin=inward",7,"2021-03-18 10:41:19","Article","10.1109/TNSRE.2018.2885309","1558-0210","https://api.elsevier.com/content/abstract/scopus_id/85061561197",27,2,218,227,15,7.50,15,1,2,""
14,"Y. Ranjan","Radar-base: Open source mobile health platform for collecting, monitoring, and analyzing data using sensors, wearables, and mobile devices",2019,"JMIR mHealth and uHealth","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85071489335&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85071489335&origin=inward",8,"2021-03-18 10:41:19","Article","10.2196/11734","2291-5222","https://api.elsevier.com/content/abstract/scopus_id/85071489335",7,8,,,14,7.00,14,1,2,""
13,"A. Carnevale","Wearable systems for shoulder kinematics assessment: A systematic review",2019,"BMC Musculoskeletal Disorders","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85075067207&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85075067207&origin=inward",9,"2021-03-18 10:41:19","Article","10.1186/s12891-019-2930-4","1471-2474","https://api.elsevier.com/content/abstract/scopus_id/85075067207",20,1,,,13,6.50,13,1,2,""
13,"M.L. Frechette","Next Steps in Wearable Technology and Community Ambulation in Multiple Sclerosis",2019,"Current Neurology and Neuroscience Reports","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85071749175&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85071749175&origin=inward",10,"2021-03-18 10:41:19","Review","10.1007/s11910-019-0997-9","1528-4042","https://api.elsevier.com/content/abstract/scopus_id/85071749175",19,10,,,13,6.50,13,1,2,""
