"","Author Names","Title","Source title","Publication Year","Abstract","Publication Type","DOI","Open URL Link","database"
"3541","A Retvedt","[Types of tremorsin patients with neurological disorders and in normal subjects. Evaluation based on recording with an accelerometer].","Tidsskrift for den Norske laegeforening : tidsskrift for praktisk medicin, ny raekke",1975,"","Comparative Study",NA,NA,"PubMed"
"724","Morgan M.H., Hewer R.L., Cooper R.","Intention tremor: a method of measurement","Journal of Neurology Neurosurgery and Psychiatry",1975,"A method of measuring and analysing intention tremor using a linear accelerometer is described. Reasons are given for measuring this particular parameter of the tremor, for using this specific energy conversion device and for employing the particular form of analysis. A comparison of the numerical values obtained for the amount of tremor activity, compared with a corresponding clinical grading, is made for 30 patients with intention tremor due to a variety of pathological causes. It is shown that the method gives clear correlation with the clinical assessments, although certain discrepancies are noted, and their importance discussed.","Article","10.1136/JNNP.38.3.253","http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=00223050&id=doi:10.1136%2Fjnnp.38.3.253&atitle=Intention+tremor%3A+a+method+of+measurement&stitle=J.+NEUROL.+NEUROSURG.+PSYCHIATRY&title=Journal+of+Neurology+Neurosurgery+and+Psychiatry&volume=38&issue=3&spage=253&epage=258&aulast=Morgan&aufirst=M.H.&auinit=M.H.&aufull=Morgan+M.H.&coden=JNNPA&isbn=&pages=253-258&date=1975&auinit1=M&auinitm=H","Embase"
"727","Retvedt A.","Types of tremor in patients with neurological diseases and in normals. An appraisal on the basis of recording with an accelerometer (Norwegian)","Tidsskrift for den Norske Laegeforening",1975,"The purpose of the present study is to investigate whether differences in tremor amplitudes and frequencies can be of diagnostic value in the neurological clinic. Resting, postural and intentional tremor were recorded by an accelerometer in 50 patients (Parkinsonism, essential tremor, alcoholism and multiple sclerosis) and in 8 normals. Typical in Parkinsonism, is a resting tremor with a frequency of less than 5 Hz. The Parkinsonian postural tremor is of 2 types, accentuated normal tremor, and Parkinsonian type. In benign essential tremor, a postural tremor with frequency of 6 to 8 Hz was usual. The alcoholics have an accentuated normal tremor, and multiple sclerosis patients have both postural and intentional tremor, without any special characteristics. Nearly all the normals have postural tremor with small amplitude and frequency of 8 to 10 Hz. The method is of diagnostic value in Parkinsonism, benign essential tremor and alcoholism.","",NA,"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=00292001&id=doi:&atitle=Types+of+tremor+in+patients+with+neurological+diseases+and+in+normals.+An+appraisal+on+the+basis+of+recording+with+an+accelerometer+%28Norwegian%29&stitle=TIDSSKR.+NOR.+LAEGEFOREN.&title=Tidsskrift+for+den+Norske+Laegeforening&volume=95&issue=2&spage=107&epage=110&aulast=Retvedt&aufirst=A.&auinit=A.&aufull=Retvedt+A.&coden=TNLAA&isbn=&pages=107-110&date=1975&auinit1=A&auinitm=","Embase"
"1741","A. Retvedt","Types of tremor in patients with neurological diseases and in normals. An appraisal on the basis of recording with an accelerometer (Norwegian)","Tidsskrift for den Norske Laegeforening",1975,NA,"Article",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0016857312&origin=inward","Scopus"
"726","Retvedt A.","Types of tremorsin patients with neurological disorders and in normal subjects. Evaluation based on recording with an accelerometer","Tidsskrift for den Norske laegeforening",1975,"","Article",NA,"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=00292001&id=doi:&atitle=Types+of+tremorsin+patients+with+neurological+disorders+and+in+normal+subjects.+Evaluation+based+on+recording+with+an+accelerometer&stitle=Tidsskr.+Nor.+Laegeforen.&title=Tidsskrift+for+den+Norske+laegeforening&volume=95&issue=2&spage=107&epage=110&aulast=Retvedt&aufirst=A.&auinit=A.&aufull=Retvedt+A.&coden=&isbn=&pages=107-110&date=1975&auinit1=A&auinitm=","Embase"
"725","Potvin A.R., Tourtellotte W.W., Snyder D.N.","Validity of quantitative tests measuring tremor","American Journal of Physical Medicine",1975,"A set of tests measuring tremor with an accelerometer has been developed to assist in objectively evaluating clinical trials. An experiment was designed to examine the consensual validity of the test measures for Resting, Sustention, and Static Intention Tremor for 10 multiple sclerosis patients and 10 parkinsonian patients. Motion pictures of the patients performing the tremor tests were viewed by a senior neurologist who rated tremor using a nine point ordinal scale. Comparisons made between the quantitative measures of tremor and the neurologist's ratings of tremor show that the tests are consensually valid. The methodology of this experiment may prove useful for examining in the future the consensual validity of new clinical instruments useful for evaluating clinical trials.","Article",NA,"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=00029491&id=doi:&atitle=Validity+of+quantitative+tests+measuring+tremor&stitle=AM.+J.+PHYS.+MED.&title=American+Journal+of+Physical+Medicine&volume=54&issue=5&spage=243&epage=252&aulast=Potvin&aufirst=A.R.&auinit=A.R.&aufull=Potvin+A.R.&coden=AJPBA&isbn=&pages=243-252&date=1975&auinit1=A&auinitm=R","Embase"
"1391","A.R. Potvin","Validity of quantitative tests measuring tremor","American Journal of Physical Medicine",1975,NA,"Article",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0016567423&origin=inward","Scopus"
"3531","A R Potvin, W W Tourtellotte, D N Snyder, W G Henderson, J W Albers","Validity of quantitative tests measuring tremor.","American journal of physical medicine",1975,"A set of tests measuring tremor with an accelerometer has been developed to assist in objectively evaluating clinical trails. An experiment was designed to examine the consensual validity of the test measures for Resting, Sustention and Static Intention Tremor for 10 multiple sclerosis patients and 10 parkinsonian patients. Motion pictures of the patients performing the tremor tests were viewed by a senior neurologist who rated tremor using a nine-point ordinal scale. Comparisons made between the quantitative measures of tremor and the neurologist's ratings of tremor show that the tests are consensually valid. The methodology of this experiment may prove useful for examining in the future the consensual validity of new clinical instruments useful for evaluating trails.","Comparative Study",NA,NA,"PubMed"
"1731","B.A. Mineo","PORTABLE, NON-INVASIVE ULTRASONIC BLADDER SENSOR FOR INCONTINENCE.","IEEE/Engineering in Medicine and Biology Society Annual Conference",1986,NA,"Conference Paper",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0023015779&origin=inward","Scopus"
"1721","B. Mineo","ULTRASONIC BLADDER SENSOR FOR PERSONS WITH INCONTINENCE.","",1987,NA,"Conference Paper",NA,"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0023581180&origin=inward","Scopus"
