,Author.Names,Title,Source.title,Publication.Year,Abstract,Publication.Type,DOI,ID,database,yvonne_included,yvonne_excluded,yvonne_comments,catherine_included,catherine_excluded,catherine_comment,tim,tim_comment
9,"KentBraun, JA; Ng, AV; Castro, M; Weiner, MW; Gelinas, D; Dudley, GA; Miller, RG","Strength, skeletal muscle composition, and enzyme activity in multiple sclerosis",JOURNAL OF APPLIED PHYSIOLOGY,1997,"This study examined functional, biochemical, and morphological characteristics of skeletal muscle in nine multiple sclerosis (MS) patients and eight healthy controls in an effort to ascertain whether intramuscular adaptations could account for excessive fatigue in this disease. Analyses of biopsies of the tibialis anterior muscle showed that there were fewer type I fibers (66 +/- 6 vs. 76 +/- 6%), and that fibers of all types were smaller (average down arrow 26%) and had lower succinic dehydrogenase (SDH; average down arrow 40%) and SDH/alpha-glycerol-phosphate dehydrogenase (GPDH) but not GPDH activities in MS vs. control subjects, suggesting that muscle in this disease is smaller and relies more on anaerobic than aerobic-oxidative energy supply than does muscle of healthy individuals. Maximal voluntary isometric force for dorsiflexion was associated with both average fiber cross-sectional area (r = 0.71, P = 0.005) and muscle fat-free cross-sectional area by magnetic resonance imaging (r = 0.80, P < 0.001). Physical activity, assessed by accelerometer, was associated with average fiber SDH/GPDH (r = 0.78, P = 0.008). There was a tendency for symptomatic fatigue to be inversely associated with average fiber SDH activity (r = -0.57, P = 0.068). The results of this study suggest that the inherent characteristics of skeletal muscle fibers per se and of skeletal muscle as a whole are altered in the direction of disuse in MS. They also suggest that changes in skeletal muscle in MS may significantly affect function.",Article,NA,WOS:A1997YK80700028,WoS,No,Out of scope (topic),,yes,,,included,
10,"Brown, P",A new clinical technique for demonstrating changes in eye acceleration during horizontal saccades in patients with partial internuclear ophthalmoplegias,JOURNAL OF NEURO-OPHTHALMOLOGY,1998,"The eyelid-mounted accelerometer can pick up the acceleration waveform of the eye during horizontal eye movements. The acceleration profile comprises high-amplitude pulsatile activity in the saccade and changes in the level of background ocular microtremor related to eye position. Adducting saccades of 20 degrees were recorded in eight patients with partial internuclear ophthalmoplegias caused by multiple sclerosis and in eight age-matched healthy subjects. The initial pulse of acceleration activity was reduced by 85% in the patients. In the worst-affected cases, adducting saccades were associated only with an increase in the level of background ocular microtremor in the acceleration trace. The results confirm the hypothesis that an internuclear ophthalmoplegia is due to the loss of the pulse signal to ocular motor neurons, with preservation of the step signal in an adducting saccade.",Article,NA,WOS:000074031600009,WoS,Yes,,,no,Out of scope,,Out of scope (topic),saccades only
31,"Baram Y., Miller A.",Auditory feedback control for improvement of gait in patients with Multiple Sclerosis,Journal of the Neurological Sciences,2007,"Objective: To study the use of auditory feedback for gait management and rehabilitation in patients with Multiple Sclerosis (MS). Methods: An auditory feedback cue, responding to the patient's own steps in closed-loop, was produced by a wearable motion sensor and delivered to the patient through ear phones. On-line (device on) and residual short-term therapeutic effects on walking speed and stride length were measured in fourteen randomly selected patients with gait disturbances predominantly due to cerebellar ataxia. Results: Patients showed an average improvement of 12.84% on-line and 18.75% residually in walking speed. Average improvement in stride length was 8.30% on-line and 9.93% residually. The improvement results are particularly noteworthy when compared with the lack of change in healthy control subjects. Conclusions: Patients with MS using auditory feedback cues showed improvement in walking abilities. © 2007 Elsevier B.V. All rights reserved.",Article,10.1016/J.JNS.2007.01.003,http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=0022510X&id=doi:10.1016%2Fj.jns.2007.01.003&atitle=Auditory+feedback+control+for+improvement+of+gait+in+patients+with+Multiple+Sclerosis&stitle=J.+Neurol.+Sci.&title=Journal+of+the+Neurological+Sciences&volume=254&issue=1-2&spage=90&epage=94&aulast=Baram&aufirst=Yoram&auinit=Y.&aufull=Baram+Y.&coden=JNSCA&isbn=&pages=90-94&date=2007&auinit1=Y&auinitm=,Embase,Yes,,,no,Out of scope,auditory feedback device,Out of scope (topic),more therapeutic
45,"Daumer M., Thaler K., Kruis E., Feneberg W., Staude G., Scholz M.","Steps towards a miniaturized, robust and autonomous measurement device for the long-term monitoring of patient activity: ActiBelt",Biomedizinische Technik,2007,"We describe the first steps in the development of a wearable measurement device for measuring a subject's three-dimensional acceleration. The ultimate aim is a standard measurement instrument integrated in a belt buckle that allows objective evaluation of treatment and rehabilitation measures in patients, in particular for disabling chronic diseases such as multiple sclerosis. In a first step we combined standard hardware elements to record test data from healthy volunteers. We then developed algorithms to automatically distinguish between different stages of activity, such as jogging, walking, lying, standing and sitting, and to detect and count steps. Distinction between standing and sitting is the most difficult to accomplish. As a first validation, we calculated the distance traveled from data of 17 experiments and a total of 4.5 h, for which one proband was walking and running for a known distance, and compared the results with two commercially available pedometers. We could show that the relative error for the ActiBelt is only half of that for the two pedometers. Apart from developing much smaller, robust and integrated hardware, we describe ideas on how to develop algorithms that allow extraction of a """"baseline step pattern"""" in analogy to baseline ECG to define and detect clinically relevant deviations. ©2007 by Walter de Gruyter.",Article,10.1515/BMT.2007.028,http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=00135585&id=doi:10.1515%2FBMT.2007.028&atitle=Steps+towards+a+miniaturized%2C+robust+and+autonomous+measurement+device+for+the+long-term+monitoring+of+patient+activity%3A+ActiBelt&stitle=Biomed.+Tech.&title=Biomedizinische+Technik&volume=52&issue=1&spage=149&epage=155&aulast=Daumer&aufirst=Martin&auinit=M.&aufull=Daumer+M.&coden=BMZTA&isbn=&pages=149-155&date=2007&auinit1=M&auinitm=,Embase,No,Out of scope (topic),,yes,,,Out of scope (outcomes),"New accelerometer belt compared to standard pedometers, nonetheless interesting (Actibelt) => Review2"
46,"Kayes N.M., McPherson K.M., Taylor D., Schluter P.J., Wilson B.-J.K., Kolt G.S.","The Physical Activity and Disability Survey (PADS): Reliability, validity and acceptability in people with multiple sclerosis",Clinical Rehabilitation,2007,"Objective: To explore the test-retest reliability and construct validity of the standardized Physical Activity and Disability Survey (PADS) and its acceptability to people with multiple sclerosis. Design: Participants completed the PADS twice with seven days between repeated measures, while also wearing an Actical accelerometer. Semi-structured interview questions were used to explore the acceptability of the PADS. Subjects: Thirty participants were recruited from the Multiple Sclerosis Society of Auckland, New Zealand. Mean age of participants was 54 years (range 27-76). Main measures: Physical Activity and Disability Survey (PADS) and Actical accelerometer. Results: A wide range of standardized PADS scores were recorded at each time-point (ranges 6.7-83.3 and 6.7-87.4). While standardized PADS scores between time-points had a high intraclass correlation coefficient of 0.92 (95% confidence interval (Cl) 0.88, 0.98), Bland-Altman 95% limits of agreement (- 17.4, 17.4) were modest. Accelerometer activity counts were not accurately predicted by standardized PADS scores (wide 95% prediction intervals). Participants reported the PADS was easy to understand and complete, enabling them to give an accurate picture of their physical activity. Conclusions: The PADS appears to be a potentially appropriate measure of activity for people with multiple sclerosis, particularly in terms of the wide range of activities it covers and its ability to detect varying levels of physical activity. We suggest the test-retest reliability and validity of the PADS could be improved with some minor revisions. © 2007 Sage Publications.",Article,10.1177/0269215507075516,http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=02692155&id=doi:10.1177%2F0269215507075516&atitle=The+Physical+Activity+and+Disability+Survey+%28PADS%29%3A+Reliability%2C+validity+and+acceptability+in+people+with+multiple+sclerosis&stitle=Clin.+Rehabil.&title=Clinical+Rehabilitation&volume=21&issue=7&spage=628&epage=639&aulast=Kayes&aufirst=Nicola+M&auinit=N.M.&aufull=Kayes+N.M.&coden=CEHAE&isbn=&pages=628-639&date=2007&auinit1=N&auinitm=M,Embase,Yes,,,no,Out of scope,Standardized Physical Activity and Disability Survey (PADS),included,accelerometer used as outcome measure
47,A. Rashid,Usage of accelerometers in home care for multiple sclerosis patients,"European Conference on eHealth 2007, Proceedings of the ECEH 2007",2007,NA,Conference Paper,NA,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=80054887921&origin=inward,Scopus,Yes,,,no,Abstract,Read for discussion,Out of scope (outcomes),Actibelt review
52,"Motl R.W., Snook E.M.",Confirmation and extension of the validity of the Multiple Sclerosis Walking Scale-12 (MSWS-12),Journal of the Neurological Sciences,2008,"Objective: The Multiple Sclerosis Walking Scale-12 (MSWS-12) is a 12-item patient-rated measure of the impact of MS on walking. As validation of scores from a measure is an ongoing and evolving process, the provision of additional evidence is warranted that confirms and extends the validity of inferences from scores on the MSWS-12. Method: Participants (N = 133) were recruited through support group meetings of the Greater Illinois and Indiana State Chapters of the National Multiple Sclerosis Society, and wore an accelerometer for a seven-day period and completed the MSWS-12 and other outcome measures. Results: Confirmatory factor analysis indicated that a single-factor model provided an adequate fit for MSWS-12 scores. MSWS-12 scores demonstrated strong evidence of internal consistency. The correlations between MSWS-12 scores with scores from other scales, including an accelerometer, were consistent with our a priori hypotheses. Conclusion: We provide evidence that both confirms and extends the validity of inferences from scores of the MSWS-12 as a measure of the impact of MS on walking in a community-based sample of individuals with MS. © 2007 Elsevier B.V. All rights reserved.",Article,10.1016/J.JNS.2007.11.003,http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=0022510X&id=doi:10.1016%2Fj.jns.2007.11.003&atitle=Confirmation+and+extension+of+the+validity+of+the+Multiple+Sclerosis+Walking+Scale-12+%28MSWS-12%29&stitle=J.+Neurol.+Sci.&title=Journal+of+the+Neurological+Sciences&volume=268&issue=1-2&spage=69&epage=73&aulast=Motl&aufirst=Robert+W.&auinit=R.W.&aufull=Motl+R.W.&coden=JNSCA&isbn=&pages=69-73&date=2008&auinit1=R&auinitm=W,Embase,Yes,,,no,Out of scope,,included,accelerometer used as outcome measure
60,E. Snook,Pain and physical activity in women with MS: Differential pattern of relationships with objective and self-report measures of physical activity,Exercise and Women's Health,2008,NA,Chapter,NA,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84895238902&origin=inward,Scopus,Yes,,"Could not find and abstract, might be interesting",no,Review,,Review,
66,"Motl R.W., Snook E.M., Agiovlasitis S., Suh Y.",Calibration of Accelerometer Output for Ambulatory Adults With Multiple Sclerosis,Archives of Physical Medicine and Rehabilitation,2009,"Motl RW, Snook EM, Agiovlasitis S, Suh Y. Calibration of accelerometer output for ambulatory adults with multiple sclerosis. Objectives: To examine the association between the rates of accelerometer activity counts and energy expenditure during walking in persons with multiple sclerosis (MS) versus controls and then to calibrate the output of accelerometers for computing time spent in light, moderate, and vigorous physical activity based on common metabolic equivalent unit categories in persons with MS. Design: Mixed-model design. Setting: Laboratory. Participants: People with MS (n=24) and people without MS (n=24) who were similar in age, sex, height, and weight. Interventions: The participants undertook three 6-minute periods of walking at 3.2, 4.8, and 6.4km·h(-1) on a motor-driven treadmill. Main Outcome Measures: Activity counts and energy expenditure were measured with an accelerometer worn on the right hip and open-circuit spirometry, respectively. Results: The results indicated that (1) persons with MS had greater energy expenditure, but not activity counts, during walking on a treadmill than did controls; (2) there was a strong linear relationship between activity counts and energy expenditure during treadmill walking, but the slope of the relationship was steeper in persons with MS than in controls; and (3) the cut-points for light, moderate, and vigorous physical activity were lower in persons with MS than in controls. Conclusions: Such findings provide evidence for a strong linear relationship between activity counts and energy expenditure during walking in persons with MS and cut-points based on counts per minute for quantifying time spent in light, moderate, and vigorous physical activity using accelerometers in this population. © 2009 American Congress of Rehabilitation Medicine.",Article,10.1016/J.APMR.2009.03.020,http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=00039993&id=doi:10.1016%2Fj.apmr.2009.03.020&atitle=Calibration+of+Accelerometer+Output+for+Ambulatory+Adults+With+Multiple+Sclerosis&stitle=Arch.+Phys.+Med.+Rehabil.&title=Archives+of+Physical+Medicine+and+Rehabilitation&volume=90&issue=10&spage=1778&epage=1784&aulast=Motl&aufirst=Robert+W.&auinit=R.W.&aufull=Motl+R.W.&coden=APMHA&isbn=&pages=1778-1784&date=2009&auinit1=R&auinitm=W,Embase,Yes,,,no,Out of scope,,included,accelerometer used as outcome measure
68,"Motl R.W., Schwartz C.E., Vollmer T.",Continued validation of the Symptom Inventory in multiple sclerosis,Journal of the Neurological Sciences,2009,"Objective: This study examined the construct, discriminant, and incremental validity of scores from the short (SI-S) and long (SI-L) forms of the Symptom Inventory in persons with MS. Methods: The sample included 133 individuals with MS who completed the SI-L, Performance Scales (PS), EDSS, Multiple Sclerosis Walking Scale-12 (MSWS-12), Multiple Sclerosis Impact Scale-29 (MSIS-29), and Godin Leisure-Time Exercise Questionnaire (GLTEQ) and then wore an accelerometer for 7 days. The data were analyzed using SPSS, version 16.0. Results: There were large correlations between SI-S and SI-L total and subscale scores and between SI-S, SI-L, and PS total scores. The correlations were similar in magnitude between SI-S, SI-L, and PS scores with EDSS and MSIS-29 scores, but not with MSWS-12, accelerometer, and GLTEQ scores. Discriminant function analysis indicated that SI-S scores better differentiated groups with minimal, moderate, and severe disability than did SI-L and PS scores. Regression analysis indicated that SI-S and SI-L scores explained incrementally more variance in EDSS, MSWS-12, and MSIS-29 scores after accounting for PS scores alone. Conclusion: Such findings provide additional support for the validity of both SI-S and SI-L scores in individuals with MS and support the adoption of either the SI-S or SI-L by clinical MS researchers. © 2009 Elsevier B.V. All rights reserved.",Article,10.1016/J.JNS.2009.06.015,http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=0022510X&id=doi:10.1016%2Fj.jns.2009.06.015&atitle=Continued+validation+of+the+Symptom+Inventory+in+multiple+sclerosis&stitle=J.+Neurol.+Sci.&title=Journal+of+the+Neurological+Sciences&volume=285&issue=1-2&spage=134&epage=136&aulast=Motl&aufirst=Robert+W.&auinit=R.W.&aufull=Motl+R.W.&coden=JNSCA&isbn=&pages=134-136&date=2009&auinit1=R&auinitm=W,Embase,No,Out of scope (topic),,yes,,,included,accelerometer used as outcome measure
