"";"Author.Names";"Title";"Source.title";"Publication.Year";"Abstract";"Publication.Type";"DOI";"ID";"database";"yvonne_included";"yvonne_excluded";"yvonne_comments";"catherine_included";"catherine_excluded";"catherine_comment";"johannes_included";"johannes_comment";"tim_included";"tim_comment";"team_decision"
"8";"Ng A.V., Kent-Braun J.A.";"Quantitation of lower physical activity in persons with multiple sclerosis";"Medicine and Science in Sports and Exercise";1997;"Multiple sclerosis (MS) is a demyelinating disease of the central nervous system that often affects the motor system. We tested the hypothesis that physical activity was lower in a group of 17 MS patient (mean ± SD; age = 46 ± 6 yr, 11 females, 6 males) compared with 15 healthy sedentary control subjects (age = 44 ± 7 yr, 9 females, 6 males). Physical activity was measured with a three-dimensional accelerometer and with an activity questionnaire for 7 d. Vector magnitude values from the accelerometer for the MS and sedentary control subjects were 121,027 ± 59,336 and 185,892 ± 60,566 arbitrary units/day, respectively (P = 0.01). Estimated energy expenditure values derived from the questionnaire were 35.9 ± 3.0 and 36.2 ± 4.1 Kcal · kg(-1) · d(-1) (NS), respectively. Thus, when measured directly with an accelerometer, activity was lower in MS compared with sedentary control subjects. The data also suggest that the accelerometer was more sensitive than the questionnaire for detecting differences in activity between two relatively sedentary populations, including one with neurologic disease.";"Article";"10.1097/00005768-199704000-00014";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=01959131&id=doi:10.1097%2F00005768-199704000-00014&atitle=Quantitation+of+lower+physical+activity+in+persons+with+multiple+sclerosis&stitle=MED.+SCI.+SPORTS+EXERC.&title=Medicine+and+Science+in+Sports+and+Exercise&volume=29&issue=4&spage=517&epage=523&aulast=Ng&aufirst=Alexander+V.&auinit=A.V.&aufull=Ng+A.V.&coden=MSCSB&isbn=&pages=517-523&date=1997&auinit1=A&auinitm=V";"Embase";"Yes";"";"";"yes";"";"";NA;NA;NA;NA;NA
"25";"Motl R.W., Snook E.M., McAuley E., Scott J.A., Douglass M.L.";"Correlates of physical activity among individuals with multiple sclerosis";"Annals of Behavioral Medicine";2006;"Background: There is accumulating evidence that individuals with multiple sclerosis (MS) are less physically active than nondiseased populations. One method for increasing the level of participation in physical activity among MS patients involves the identification of factors that correlate with physical activity and that are modifiable by a well-designed intervention. Purpose: This study adopts a social cognitive perspective and examines self-efficacy, enjoyment, social support, and disability as correlates of participation in physical activity among individuals with MS. Methods: We recruited 196 individuals with a diagnosis of MS from the Midwest region of the United States. The participants completed a battery of questionnaires and then wore a belt with an accelerometer for a 7-day period. The data were analyzed using covariance modeling. Results: Enjoyment (γ = .38, p < .001), social support (γ = .15, p < .05), and disability (γ = .18, p < .01) had statistically significant direct relations with self-efficacy, and self-efficacy (β = .29, p < .001) and enjoyment (γ = .28, p < .001) had statistically significant direct relations with physical activity. Conclusions: Future researchers should consider examining self-efficacy and enjoyment as possible components of an intervention that is designed to increase physical activity participation in MS patients. © 2006 by The Society of Behavioral Medicine.";"Conference Paper";"10.1207/S15324796ABM3202_13";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=08836612&id=doi:10.1207%2Fs15324796abm3202_13&atitle=Correlates+of+physical+activity+among+individuals+with+multiple+sclerosis&stitle=Ann.+Behav.+Med.&title=Annals+of+Behavioral+Medicine&volume=32&issue=2&spage=154&epage=161&aulast=Motl&aufirst=Robert+W.&auinit=R.W.&aufull=Motl+R.W.&coden=ABMEE&isbn=&pages=154-161&date=2006&auinit1=R&auinitm=W";"Embase";"Yes";"";"";"yes";"";"";NA;NA;NA;NA;NA
"27";"Motl R.W., Snook E.M., McAuley E., Gliottoni R.C.";"Symptoms, self-efficacy, and physical activity among individuals with multiple sclerosis";"Research in Nursing and Health";2006;"Using social-cognitive theory, we examined the associations among symptoms, self-efficacy, and physical activity in 196 individuals with multiple sclerosis (MS). Participants completed symptoms, self-efficacy, and physical activity measures and wore an accelerometer for 7 days. There was a moderate inverse correlation between symptoms and physical activity (φ = -.42). Subsequent analyses indicated that symptoms had direct negative relationships with self-efficacy (γ = -.32) and physical activity (γ = -.24), and self-efficacy had a direct positive relationship with physical activity (β = .57). This study provides initial support for symptoms as a correlate of physical activity in individuals with MS. Monitoring symptoms during a physical activity program and altering the exercise prescription during symptom exacerbation might be a method for increasing exercise adherence. © 2006 Wiley Periodicals, Inc.";"Article";"10.1002/NUR.20161";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=01606891&id=doi:10.1002%2Fnur.20161&atitle=Symptoms%2C+self-efficacy%2C+and+physical+activity+among+individuals+with+multiple+sclerosis&stitle=Res.+Nurs.+Health&title=Research+in+Nursing+and+Health&volume=29&issue=6&spage=597&epage=606&aulast=Motl&aufirst=Robert+W.&auinit=R.W.&aufull=Motl+R.W.&coden=&isbn=&pages=597-606&date=2006&auinit1=R&auinitm=W";"Embase";"Yes";"";"Motl RW = Wiederholungst;"yes";"";"";NA;NA;NA;NA;NA
"28";"Motl R.W., McAuley E., Snook E.M., Scott J.A.";"Validity of physical activity measures in ambulatory individuals with multiple sclerosis";"Disability and Rehabilitation";2006;"Purpose. The literature suggests that individuals with multiple sclerosis (MS) engage in less physical activity than non-diseased individuals. That conclusion, however, depends upon the validity of scores from measures of physical activity among the MS population. This study evaluated the validity of scores from two self-report surveys, a pedometer, and an accelerometer and during seven days of free-living conditions among individuals with MS. Method. Participants were 30 individuals (28 females, two males) with an established definite diagnosis of MS. The participants wore a pedometer and a single-axis accelerometer during the waking hours of a 7-day period. After the 7-day period, participants returned to the lab and completed a self-administered physical activity questionnaire and then underwent a 7-day physical activity recall. Results. There were strong correlations (a) between scores from the two self-report measures of physical activity and (b) between scores from the two objective measures of physical activity, and (c) weaker, but moderate-to-strong correlations between scores from the self-report and objective measures of physical activity. Conclusion. Our results support the quantification of physical activity among those with MS using validated self-report and objective measures.";"Article";"10.1080/09638280600551476";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=09638288&id=doi:10.1080%2F09638280600551476&atitle=Validity+of+physical+activity+measures+in+ambulatory+individuals+with+multiple+sclerosis&stitle=Disabil.+Rehabil.&title=Disability+and+Rehabilitation&volume=28&issue=18&spage=1151&epage=1156&aulast=Motl&aufirst=Robert+W.&auinit=R.W.&aufull=Motl+R.W.&coden=DREHE&isbn=&pages=1151-1156&date=2006&auinit1=R&auinitm=W";"Embase";"Yes";"";"";"yes";"";"";NA;NA;NA;NA;NA
"30";"Motl R.W., Snook E.M., McAuley E., Scott J.A., Gliottoni R.C.";"Are Physical Activity and Symptoms Correlates of Functional Limitations and Disability in Multiple Sclerosis?";"Rehabilitation Psychology";2007;"Objective: This study examined physical activity and symptoms as correlates of functional limitations and disability among individuals with multiple sclerosis (MS). The authors hypothesized that physical activity and symptoms would be interrelated and that physical activity would be indirectly associated with disability through a pathway that involved functional limitations, whereas symptoms would be directly associated with both functional limitations and disability. Methods: Individuals with MS (N= 133) who were recruited through a community organization wore an accelerometer for a 7-day period and completed a paper-and-pencil survey containing the Godin Leisure-Time Exercise Questionnaire (G. Godin & R. J. Shephard, 1985), Symptom Inventory (C. E. Schwartz, T. Vollmer, & H. Lee, 1999), MS-Related Symptom Checklist (E. E. Gulick, 1989), and abbreviated Late-Life Function and Disability Inventory (E. McAuley, J. F. Konopack, R. W. Motl, K. Rosengren, & K. S. Morris, 2005). The data were analyzed using structural equation modeling in AMOS 6.0. Results: The standardized coefficients indicated that (a) physical activity and symptoms were negatively correlated (θ = -.59); (b) those who were more physically active had better function (γ = .40); (c) those with fewer symptoms had better function (γ = -.46) and less disability (γ = -.29); and (d) those with better function had less disability (β = .63). Conclusion: Findings indicate that physical activity is associated with reduced disability through a pathway that is consistent with S. Z. Nagi's disablement model in individuals with MS. © 2007 American Psychological Association.";"Article";"10.1037/0090-5550.52.4.463";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=00905550&id=doi:10.1037%2F0090-5550.52.4.463&atitle=Are+Physical+Activity+and+Symptoms+Correlates+of+Functional+Limitations+and+Disability+in+Multiple+Sclerosis%3F&stitle=Rehabil.+Psychol.&title=Rehabilitation+Psychology&volume=52&issue=4&spage=463&epage=469&aulast=Motl&aufirst=Robert+W.&auinit=R.W.&aufull=Motl+R.W.&coden=RHBPB&isbn=&pages=463-469&date=2007&auinit1=R&auinitm=W";"Embase";"Yes";"";"";"yes";"";"";NA;NA;NA;NA;NA
"37";"Kos, D; Nagels, G; D'Hooghe, MB; Duquet, W; Ilsbroukx, S; Delbeke, S; Kerckhofs, E";"Measuring activity patterns using actigraphy in multiple sclerosis";"CHRONOBIOLOGY INTERNATIONAL";2007;"Multiple sclerosis (MS) is a demyelinating disease resulting in impairments in motor and mental performance and restrictions in activities. Self-report instruments are commonly used to measure activity patterns; alternatively, actigraphs can be placed on several parts of the body. The aims of this study were to evaluate the superiority and specificity of actigraph placement ( wrist vs. ankle) in subjects with MS and healthy controls and explore the relationship between self-report and objective activity patterns. A total of 19 subjects with definite MS and 10 healthy volunteers wore actigraphs on the non-dominant wrist and ankle for three days while they kept a log to register performed activities every .5 h. Wrist and ankle actigraphs produced similar activity patterns during the most active hours (09:00-20:30 h) (ANOVA, time x location interaction: F = .901, df = 23, p = .597) in individuals with MS and healthy controls (between subjects factor F = 3.275, p = .083). Wrist placement of the actigraphs was better tolerated than ankle placement. Wrist actigraph data corresponded to a higher degree with self-reported activities of the upper limbs in the early afternoon, whereas ankle data seem to reflect better whole body movements in the later afternoon/early evening. Overall, actigraph data correlated moderately with self-reported activity (r = .57 for ankle and r = .59 for wrist). The regression model revealed that self-reported activities explained 44% of the variance in ankle and 50% of wrist data. Wrist and ankle actigraphs produce similar activity patterns in subjects with MS and in healthy controls; however, the placement of actigraphs on the wrist is better tolerated. Ankle actigraphs reflect general movement but underestimate upper body activity. Subjective registration of activity level partly matches with objective actigraph measurement. A combination of both objective and subjective activity registration is recommended to evaluate the physical activity pattern of subjects with MS.";"Article; Proceedings Paper";"10.1080/07420520701282364";"WOS:000246297100010";"WoS";"Yes";"";"";"yes";"";"";NA;NA;NA;NA;NA
"39";"Gosney J.L., Scott J.A., Snook E.M., Motl R.W.";"Physical activity and multiple sclerosis: Validity of self-report and objective measures";"Family and Community Health";2007;"This study examined the validity of scores from measures of physical activity among individuals with multiple sclerosis. Participants (N ≤ 196) completed 2 self-report measures of physical activity, and wore a pedometer and an accelerometer for a 7-day period. There was a large correlation between scores from the objective devices (r ≤ 0.82) and a moderate correlation between scores from the self-report surveys (r ≤ 0.37). The correlations across measurement methods were moderate-to-large in magnitude (range of r ≤ 0.32ĝ€""""0.53). Our results provide a stronger and more compelling basis for the validity of scores from measures of physical activity among individuals with multiple sclerosis. Copyright © 2007 Wolters Kluwer Heath | Lippincott Williams & Wilkins.";"Article";"10.1097/01.FCH.0000264411.20766.0C";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=01606379&id=doi:10.1097%2F01.FCH.0000264411.20766.0c&atitle=Physical+activity+and+multiple+sclerosis%3A+Validity+of+self-report+and+objective+measures&stitle=Fam.+Commun.+Health&title=Family+and+Community+Health&volume=30&issue=2&spage=144&epage=150&aulast=Gosney&aufirst=Jessica+L.&auinit=J.L.&aufull=Gosney+J.L.&coden=&isbn=&pages=144-150&date=2007&auinit1=J&auinitm=L";"Embase";"Yes";"";"";"yes";"";"";NA;NA;NA;NA;NA
"40";"Motl R.W., McAuley E., Snook E.M.";"Physical activity and quality of life in multiple sclerosis: Possible roles of social support, self-efficacy, and functional limitations";"Rehabilitation Psychology";2007;"Objective: Quality of life (QOL) is compromised among individuals with multiple sclerosis (MS). Physical activity has been positively associated with QOL, but little is known about the factors that explain and/or confound the relationship in those with MS. On the basis of a social-cognitive perspective and previous research, the authors tested the hypothesis that physical activity would be indirectly associated with QOL through a mediated pathway that included self-efficacy and functional limitations, after controlling for perceived social support. Participants: Participants were 196 individuals with a definite diagnosis of MS living in the Midwest region of the United States who completed a battery of questionnaires and wore a pedometer and accelerometer for a 7-day period. Results: Covariance modeling analyses indicated that physical activity was indirectly associated with QOL through a pathway that included self-efficacy and functional limitations, and the pattern of relationships was independent of the perception of social support. Conclusions: The findings support physical activity as a possible modifiable behavior for mitigating reductions of QOL in those with MS and suggest that a social-cognitive model aids in the understanding of physical activity's relationships with QOL. © 2007 APA, all rights reserved.";"Article";"10.1037/0090-5550.52.2.143";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=00905550&id=doi:10.1037%2F0090-5550.52.2.143&atitle=Physical+activity+and+quality+of+life+in+multiple+sclerosis%3A+Possible+roles+of+social+support%2C+self-efficacy%2C+and+functional+limitations&stitle=Rehabil.+Psychol.&title=Rehabilitation+Psychology&volume=52&issue=2&spage=143&epage=151&aulast=Motl&aufirst=Robert+W.&auinit=R.W.&aufull=Motl+R.W.&coden=RHBPB&isbn=&pages=143-151&date=2007&auinit1=R&auinitm=W";"Embase";"Yes";"";"";"yes";"";"";NA;NA;NA;NA;NA
"43";"Hale L., Williams K., Ashton C., Connole T., McDowell H., Taylor C.";"Reliability of RT3 accelerometer for measuring mobility in people with multiple sclerosis: Pilot study";"Journal of Rehabilitation Research and Development";2007;"This pilot study investigated the test-retest reliability of an RT3 accelerometer (RT3) for measuring motion in people with multiple sclerosis (MS). Ten people with MS (mean age 49 yr; Extended Disability Status Scale mean +/-standard deviation = 3.4 +/- 1.3) and ten nondisabled people (mean age 40 yr) wore the RT3 while they performed three discrete mobility tasks on two occasions separated by 1 week. The intraclass correlation coefficients (ICCs) calculated from the RT3 motion data for the group with MS were 0.64 for the 5-minute walk test (p = 0.01), 0.50 for the timed up and go test (p = 0.05), and 0.76 for the stair-climbing task (p = 0.002). For the control group, these values were 0.65 (p = 0.01), -0.04 (p = 0.54), and 0.39 (p = 0.11), respectively. We found that the RT3 can potentially provide stable data when measuring walking, but a more robust, yet participant-friendly, method of attaching the RT3 is required. Both participant groups demonstrated inconsistencies in motor-task performance, highlighting a potential source of measurement error that would need to be addressed when future studies are designed. Based on the results of the 5-minute walk test in this study, a sample of 53 participants would be required to obtain an ICC value with a 95% confidence interval of width 0.2 using two repeat measurements.";"Article";"10.1682/JRRD.2005.09.0155";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=07487711&id=doi:10.1682%2FJRRD.2005.09.0155&atitle=Reliability+of+RT3+accelerometer+for+measuring+mobility+in+people+with+multiple+sclerosis%3A+Pilot+study&stitle=J.+Rehabil.+Res.+Dev.&title=Journal+of+Rehabilitation+Research+and+Development&volume=44&issue=4&spage=619&epage=627&aulast=Hale&aufirst=Leigh&auinit=L.&aufull=Hale+L.&coden=JRRDD&isbn=&pages=619-627&date=2007&auinit1=L&auinitm=";"Embase";"Yes";"";"";"yes";"";"";NA;NA;NA;NA;NA
"44";"Motl R.W., Zhu W., Park Y., McAuley E., Scott J.A., Snook E.M.";"Reliability of scores from physical activity monitors in adults with multiple sclerosis";"Adapted Physical Activity Quarterly";2007;"We examined the reliability of scores from physical activity monitors in a sample of 193 individuals with multiple sclerosis (MS) who wore a pedometer and an accelerometer for a 7-day period. There were no significant differences among days for the pedometer (p = .12) or the accelerometer (p = .15) indicating that week and weekend days can be analyzed in a single intra-class correlation (ICC) analytic model. The 7 days of monitoring yielded ICC estimates of .93 for both the pedometer and accelerometer, and a minimum of 3 days yielded a reliability of .80 for both the pedometer and accelerometer. Results indicated that physical activity monitor scores are reliable measures of physical activity for individuals with MS. © 2007 Human Kinetics, Inc.";"Article";"10.1123/APAQ.24.3.245";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=07365829&id=doi:10.1123%2Fapaq.24.3.245&atitle=Reliability+of+scores+from+physical+activity+monitors+in+adults+with+multiple+sclerosis&stitle=Adapt.+Phys.+Act.+Q.&title=Adapted+Physical+Activity+Quarterly&volume=24&issue=3&spage=245&epage=253&aulast=Motl&aufirst=Robert+W.&auinit=R.W.&aufull=Motl+R.W.&coden=APAQE&isbn=&pages=245-253&date=2007&auinit1=R&auinitm=W";"Embase";"Yes";"";"";"yes";"";"";NA;NA;NA;NA;NA
