"Title","Original Title","Author Names","AiP/IP Entry Date","Full Record Entry Date","Source","Source title","Publication Year","Volume","Issue","First Page","Last Page","Date of Publication","Publication Type","DOI"
"Balance Impairments in People with Early-Stage Multiple Sclerosis: Boosting the Integration of Instrumented Assessment in Clinical Practice",,"Carpinella I., Anastasi D., Gervasoni E., Di Giovanni R., Tacchino A., Brichetto G., Confalonieri P., Rovaris M., Solaro C., Ferrarin M., Cattaneo D.","2022-12-16","2022-12-21","Sensors (Basel, Switzerland) (2022) 22:23. Date of Publication: 6 Dec 2022","Sensors (Basel, Switzerland)","2022","22","23",,,"6 Dec 2022","Article",10.3390/s22239558
"Potential application of hydrogel to the diagnosis and treatment of multiple sclerosis",,"Liu H., Chen B., Zhu Q.","2022-04-19","2022-04-29","Journal of Biological Engineering (2022) 16:1 Article Number: 10. Date of Publication: 1 Dec 2022","Journal of Biological Engineering","2022","16","1",,,"1 Dec 2022","Review",10.1186/s13036-022-00288-7
"Safety of low-intensity repetitive transcranial magneTic brAin stimUlation foR people living with mUltiple Sclerosis (TAURUS): study protocol for a randomised controlled trial",,"Makowiecki K., Stevens N., Cullen C.L., Zarghami A., Nguyen P.T., Johnson L., Rodger J., Hinder M.R., Barnett M., Young K.M., Taylor B.V.","2022-08-11","2022-12-30","Trials (2022) 23:1 Article Number: 626. Date of Publication: 1 Dec 2022","Trials","2022","23","1",,,"1 Dec 2022","Article",10.1186/s13063-022-06526-z
"The mSteps pilot study: Analysis of the distance walked using a novel smartphone application in multiple sclerosis",,"Alexander S., Braisher M., Tur C., Chataway J.","2022-10-11","2022-12-20","Multiple Sclerosis Journal (2022) 28:14 (2285-2293). Date of Publication: 1 Dec 2022","Multiple Sclerosis Journal","2022","28","14","2285","2293","1 Dec 2022","Article",10.1177/13524585221124043
"Moderate-to-Vigorous Physical Activity is Related With Retinal Neuronal and Axonal Integrity in Persons With Multiple Sclerosis",,"Kim J., Bollaert R.E., Cerna J., Adamson B.C., Robbs C.M., Khan N.A., Motl R.W.","2022-11-11","2022-12-14","Neurorehabilitation and Neural Repair (2022) 36:12 (810-815). Date of Publication: 1 Dec 2022","Neurorehabilitation and Neural Repair","2022","36","12","810","815","1 Dec 2022","Article",10.1177/15459683221131787
"Fragmentation, circadian amplitude, and fractal pattern of daily-living physical activity in people with multiple sclerosis: Is there relevant information beyond the total amount of physical activity?",,"Salomon A., Galperin I., Buzaglo D., Mirelman A., Regev K., Karni A., Schmitz-Hübsch T., Paul F., Devos H., Sosnoff J.J., Gazit E., Tamir R., Shimoni N., Hausdorff J.M.","2022-09-12","2022-09-15","Multiple Sclerosis and Related Disorders (2022) 68 Article Number: 104108. Date of Publication: 1 Dec 2022","Multiple Sclerosis and Related Disorders","2022","68",,,,"1 Dec 2022","Article",10.1016/j.msard.2022.104108
"TRACking health behaviors in people with Multiple Sclerosis (TRAC-MS): Study protocol and description of the study sample",,"Prakash R.S., Manglani H.R., Duraney E.J., Shankar A., Fisher M.E., Janssen A., Cea L., Petosa R., Andridge R., Nicholas J.","2022-10-04","2022-10-07","Contemporary Clinical Trials Communications (2022) 30 Article Number: 101006. Date of Publication: 1 Dec 2022","Contemporary Clinical Trials Communications","2022","30",,,,"1 Dec 2022","Article",10.1016/j.conctc.2022.101006
"Design and validation of a multi-task, multi-context protocol for real-world gait simulation",,"Scott K., Bonci T., Salis F., Alcock L., Buckley E., Gazit E., Hansen C., Schwickert L., Aminian K., Bertuletti S., Caruso M., Chiari L., Sharrack B., Maetzler W., Becker C., Hausdorff J.M., Vogiatzis I., Brown P., Del Din S., Eskofier B., Paraschiv-Ionescu A., Keogh A., Kirk C., Kluge F., Micó-Amigo E.M., Mueller A., Neatrour I., Niessen M., Palmerini L., Sillen H., Singleton D., Ullrich M., Vereijken B., Froehlich M., Brittain G., Caulfield B., Koch S., Carsin A.-E., Garcia-Aymerich J., Kuederle A., Yarnall A., Rochester L., Cereatti A., Mazzà C.","2022-12-23",,"Journal of NeuroEngineering and Rehabilitation (2022) 19:1 Article Number: 141. Date of Publication: 1 Dec 2022","Journal of NeuroEngineering and Rehabilitation","2022","19","1",,,"1 Dec 2022","Article",10.1186/s12984-022-01116-1
"The utility of wearable devices in assessing ambulatory impairments of people with multiple sclerosis in free-living conditions",,"Sun S., Folarin A.A., Zhang Y., Cummins N., Liu S., Stewart C., Ranjan Y., Rashid Z., Conde P., Laiou P., Sankesara H., Dalla Costa G., Leocani L., Sørensen P.S., Magyari M., Guerrero A.I., Zabalza A., Vairavan S., Bailon R., Simblett S., Myin-Germeys I., Rintala A., Wykes T., Narayan V.A., Hotopf M., Comi G., Dobson R.J.","2022-11-15","2022-11-24","Computer Methods and Programs in Biomedicine (2022) 227 Article Number: 107204. Date of Publication: 1 Dec 2022","Computer Methods and Programs in Biomedicine","2022","227",,,,"1 Dec 2022","Article",10.1016/j.cmpb.2022.107204
"Diet, Physical Activity, and Stress Among Wheelchair Users with Multiple Sclerosis: Examining Behavioral Risk Factors",,"Silveira S., Jeng B., Cutter G., Motl R.",,"2022-12-01","Archives of Physical Medicine and Rehabilitation (2022) 103:12 (e180-e181). Date of Publication: 1 Dec 2022","Archives of Physical Medicine and Rehabilitation","2022","103","12","e180","e181","1 Dec 2022","Conference Abstract",10.1016/j.apmr.2022.08.924
