Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Scott, K., Bonci, T., Salis, F., Alcock, L., Buckley, E., Gazit, E., Hansen, C., Schwickert, L., Aminian, K., Bertuletti, S., Caruso, M., Chiari, L., Sharrack, B., Maetzler, W., Becker, C., Hausdorff, J.M., Vogiatzis, I., Brown, P., Del Din, S., Eskofier, B., Paraschiv-Ionescu, A., Keogh, A., Kirk, C., Kluge, F., Micó-Amigo, E.M., Mueller, A., Neatrour, I., Niessen, M., Palmerini, L., Sillen, H., Singleton, D., Ullrich, M., Vereijken, B., Froehlich, M., Brittain, G., Caulfield, B., Koch, S., Carsin, A.-E., Garcia-Aymerich, J., Kuederle, A., Yarnall, A., Rochester, L., Cereatti, A., Mazzà, C.","57218218234;55933999900;55237528900;55437030000;57194452409;55646795200;55604204900;54585982500;7006135858;57190122707;57213590211;6701379140;6603604950;55887146800;7402823061;7006799695;55791244500;57373505800;36738992800;26428080900;6603200593;56585553500;57226147409;57192813255;57188837563;7404065096;57195757963;57203047517;35787311000;6504686914;57193511575;57201691113;6603601384;57924580400;57218219112;6602906583;55883050200;15836518700;6603421917;57896522900;26665224800;7003666082;12786606600;7006089519;","Design and validation of a multi-task, multi-context protocol for real-world gait simulation",2022,"Journal of NeuroEngineering and Rehabilitation","19","1","141","","",,,"10.1186/s12984-022-01116-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144208183&doi=10.1186%2fs12984-022-01116-1&partnerID=40&md5=c286424e6bbe9e7d1ebe11e89009fc57",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85144208183
"Carpinella, I., Anastasi, D., Gervasoni, E., Di Giovanni, R., Tacchino, A., Brichetto, G., Confalonieri, P., Rovaris, M., Solaro, C., Ferrarin, M., Cattaneo, D.","16174260800;57204651309;57192344544;57204240264;16246150800;6506371342;7004054280;7005618200;7004460718;6604078293;7003782543;","Balance Impairments in People with Early-Stage Multiple Sclerosis: Boosting the Integration of Instrumented Assessment in Clinical Practice",2022,"Sensors","22","23","9558","","",,,"10.3390/s22239558","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143836864&doi=10.3390%2fs22239558&partnerID=40&md5=1732be4f4264b91848569bf9d6803290",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85143836864
"Sun, S., Folarin, A.A., Zhang, Y., Cummins, N., Liu, S., Stewart, C., Ranjan, Y., Rashid, Z., Conde, P., Laiou, P., Sankesara, H., Dalla Costa, G., Leocani, L., Sørensen, P.S., Magyari, M., Guerrero, A.I., Zabalza, A., Vairavan, S., Bailon, R., Simblett, S., Myin-Germeys, I., Rintala, A., Wykes, T., Narayan, V.A., Hotopf, M., Comi, G., Dobson, R.J.","57192690141;35766461900;57206486845;55350497300;57860241900;57205023094;57205028192;57208873135;57210795333;56278014200;57386555800;6506426520;26643042800;55663378300;36702764800;57217634832;57387383300;57202390778;57216533861;36769201900;6603917483;57190014332;7005058916;7004402773;7006045579;7201788288;57277378900;","The utility of wearable devices in assessing ambulatory impairments of people with multiple sclerosis in free-living conditions",2022,"Computer Methods and Programs in Biomedicine","227",,"107204","","",,,"10.1016/j.cmpb.2022.107204","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141531810&doi=10.1016%2fj.cmpb.2022.107204&partnerID=40&md5=6ed7823d528d6553608a479c960355d3",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85141531810
"Kim, J., Bollaert, R.E., Cerna, J., Adamson, B.C., Robbs, C.M., Khan, N.A., Motl, R.W.","57954547800;57195035029;57283530800;56562705200;57205232917;55216717300;7004580855;","Moderate-to-Vigorous Physical Activity is Related With Retinal Neuronal and Axonal Integrity in Persons With Multiple Sclerosis",2022,"Neurorehabilitation and Neural Repair","36","12",,"810","815",,,"10.1177/15459683221131787","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141425085&doi=10.1177%2f15459683221131787&partnerID=40&md5=53af98c8ace080ba6178cc78013d44fb",Article,"Final","",Scopus,2-s2.0-85141425085
"LaCroix, M.S., Mirbaha, H., Shang, P., Zandee, S., Foong, C., Prat, A., White, C.L., Stuve, O., Diamond, M.I.","57556815200;26027987900;26533336700;57192291138;20435433400;7103277065;7404152938;6602904868;7202565582;","Tau seeding in cases of multiple sclerosis",2022,"Acta Neuropathologica Communications","10","1","146","","",,,"10.1186/s40478-022-01444-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139698424&doi=10.1186%2fs40478-022-01444-2&partnerID=40&md5=28f0c2273cd3cdd212b2a76df81475af",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85139698424
"Alexander, S., Braisher, M., Tur, C., Chataway, J.","57218375565;57203847472;24463840100;57212501583;","The mSteps pilot study: Analysis of the distance walked using a novel smartphone application in multiple sclerosis",2022,"Multiple Sclerosis Journal","28","14",,"2285","2293",,,"10.1177/13524585221124043","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139229981&doi=10.1177%2f13524585221124043&partnerID=40&md5=6e4bfa1349b6f9881459bc6c058edb90",Article,"Final","",Scopus,2-s2.0-85139229981
"Salomon, A., Galperin, I., Buzaglo, D., Mirelman, A., Regev, K., Karni, A., Schmitz-Hübsch, T., Paul, F., Devos, H., Sosnoff, J.J., Gazit, E., Tamir, R., Shimoni, N., Hausdorff, J.M.","57875607500;57205623408;57875247500;35332484600;7801505787;7004831371;13612891500;57033685900;23033673200;6506857510;55646795200;57875607600;57875841300;7006799695;","Fragmentation, circadian amplitude, and fractal pattern of daily-living physical activity in people with multiple sclerosis: Is there relevant information beyond the total amount of physical activity?",2022,"Multiple Sclerosis and Related Disorders","68",,"104108","","",,,"10.1016/j.msard.2022.104108","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137300870&doi=10.1016%2fj.msard.2022.104108&partnerID=40&md5=fe758bb1ec99091e9503850c51a66e05",Article,"Final","",Scopus,2-s2.0-85137300870
"Makowiecki, K., Stevens, N., Cullen, C.L., Zarghami, A., Nguyen, P.T., Johnson, L., Rodger, J., Hinder, M.R., Barnett, M., Young, K.M., Taylor, B.V.","55469736500;56689471500;55596993600;57519259200;57831704900;57832191800;7005395616;8658456700;7202823681;11141116700;7403035814;","Safety of low-intensity repetitive transcranial magneTic brAin stimUlation foR people living with mUltiple Sclerosis (TAURUS): study protocol for a randomised controlled trial",2022,"Trials","23","1","626","","",,,"10.1186/s13063-022-06526-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135492986&doi=10.1186%2fs13063-022-06526-z&partnerID=40&md5=10fb545a36b8530efaf07e4c0f0dc889",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85135492986
"Andrews, J.A., Craven, M.P., Lang, A.R., Guo, B., Morriss, R., Hollis, C.","57193444880;56768273300;54965585600;57301877100;7004056331;7006624553;","Making remote measurement technology work in multiple sclerosis, epilepsy and depression: survey of healthcare professionals",2022,"BMC Medical Informatics and Decision Making","22","1","125","","",,,"10.1186/s12911-022-01856-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129999705&doi=10.1186%2fs12911-022-01856-z&partnerID=40&md5=e2f9d6b42f3ade6dfc29668296f2d828",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85129999705
"Liu, H., Chen, B., Zhu, Q.","55844444800;57193392564;7403313582;","Potential application of hydrogel to the diagnosis and treatment of multiple sclerosis",2022,"Journal of Biological Engineering","16","1","10","","",,,"10.1186/s13036-022-00288-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128061005&doi=10.1186%2fs13036-022-00288-7&partnerID=40&md5=b99a2f466b29f6f27eb3820b21ac8c67",Review,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85128061005
